M1,θ (deg),M2 (Num),M2 (Ana),M2 Error (%),ρ2/ρ1 (Num),ρ2/ρ1 (Ana),ρ2/ρ1 Error (%),p2/p1 (Num),p2/p1 (Ana),p2/p1 Error (%),T2/T1 (Num),T2/T1 (Ana),T2/T1 Error (%)
1.5,0.0,1.493,1.4999999999999991,-0.4666666666666008,1.0,1.0000000000000004,-4.440892098500624e-14,0.9999506538366641,1.0000000000000004,-0.0049346163336294584,1.0,1.0,0.0
1.5,5.0,1.3154,1.325295387767429,-0.7466552633295322,1.1890971039182283,1.1909743589260076,-0.15762346130374358,1.2772760917838637,1.2779820693439057,-0.05524158569802302,1.0741666666666667,1.073055416014318,0.103559484045688
1.5,10.0,1.0962,1.114381859240365,-1.6315645386365853,1.4200170357751278,1.4345026437364412,-1.0098000184637368,1.6546755489760672,1.6661970912758655,-0.6914873612566352,1.1652666666666667,1.1615151427283537,0.32298536629499586
2.0,0.0,1.9978,2.0000000000000004,-0.11000000000002116,1.0,0.9999999999999998,2.2204460492503137e-14,0.9999506538366641,0.9999999999999998,-0.0049346163335628485,1.0,1.0,0.0
2.0,5.0,1.8194,1.8212537708786893,-0.10178542432310536,1.214054514480409,1.2155789567028228,-0.12540873745863684,1.3142857142857143,1.3154118883061263,-0.08561379370398045,1.0825,1.0821257946939986,0.03458057351892478
2.0,10.0,1.6288,1.6405220335136386,-0.7145306965815336,1.4426746166950597,1.4584260045087643,-1.0800265330574677,1.6944485566247225,1.7065799839797529,-0.7108619267137903,1.1745,1.1701514425765533,0.37162347241752536
2.0,15.0,1.427,1.445714138678397,-1.2944563643476892,1.6792163543441228,1.7289246843437465,-2.875100948569756,2.1432025660004936,2.1946623532599063,-2.3447701275312522,1.2762666666666667,1.2693776883553027,0.5427051676234975
2.0,20.0,1.1986,1.210213862414771,-0.9596537253008625,1.917802385008518,2.04200997317856,-6.082614179239421,2.6768319763138417,2.8428761543626733,-5.840710922071663,1.3957333333333335,1.392193627291356,0.254253860424885
2.5,0.0,2.4884,2.5,-0.4640000000000022,1.0,0.9999999999999998,2.2204460492503137e-14,0.9999506538366641,0.9999999999999998,-0.0049346163335628485,1.0,1.0,0.0
2.5,5.0,2.2867,2.291525142880681,-0.21056469293700286,1.2572402044293016,1.2574228704599923,-0.014527016724604554,1.3770540340488526,1.3799592377314436,-0.21052822454139317,1.0952333333333333,1.0974455752063779,-0.2015810098490366
2.5,10.0,2.0764,2.0859283377785927,-0.4567912332376589,1.5330494037478706,1.549266666912269,-1.0467702888567192,1.8451517394522576,1.8638761203767593,-1.004593637946109,1.2035333333333333,1.2030678486024011,0.03869147791398227
2.5,15.0,1.8568,1.8735245698381173,-0.8926795040410073,1.808688245315162,1.8665501599610765,-3.0999389079970454,2.399013076733284,2.4675134698057932,-2.776089934694492,1.3263666666666667,1.3219604282616353,0.3333109154277457
2.5,20.0,1.6199,1.6457966624944134,-1.5735031601755587,2.06396933560477,2.200157395654571,-6.189923517234704,3.0372563533185293,3.2109197894474377,-5.4085261394459785,1.4715666666666667,1.4594008498042168,0.8336172247728901
2.5,23.0,1.4806,1.4960813195532354,-1.0347913145428878,2.2073253833049407,2.406904616173224,-8.291946075769197,3.448803355539107,3.7409240764964347,-7.808785075128112,1.5623666666666667,1.5542418097213337,0.5227537243248961
2.5,25.0,1.3885,1.3864763518003773,0.14595620019014313,2.2925894378194207,2.549446373183266,-10.075008365174245,3.7201085615593388,4.143315829372285,-10.214216951862497,1.6226333333333334,1.6251787781344575,-0.15662552547271694
2.5,29.75,1.1403,0.9609985645000265,18.657825528933827,2.5331345826235094,3.0150138153147967,-15.982654216825685,4.493955094991365,5.726334836425696,-21.52126581203496,1.7740333333333334,1.8991056042830816,-6.585851290611269
