"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6855,344.05,634.33,20.207,0,1.4247e+05,1.4393,1,0,0.5,0,1
1.684,344.28,633.89,20.59,4.6067e-20,1.4291e+05,1.4428,1,0.0010164,0.501,0.000182,1
1.6825,344.51,633.46,20.972,9.2135e-20,1.4336e+05,1.4462,1,0.0020328,0.502,0.000364,1
1.6811,344.73,633.03,21.355,1.382e-19,1.438e+05,1.4497,1,0.0030493,0.503,0.000546,1
1.6796,344.96,632.6,21.737,1.8427e-19,1.4425e+05,1.4532,1,0.0040657,0.504,0.000728,1
1.6781,345.19,632.17,22.12,2.3034e-19,1.4469e+05,1.4566,1,0.0050821,0.505,0.00091,1
1.6766,345.41,631.74,22.503,2.7641e-19,1.4514e+05,1.4601,1,0.0060985,0.506,0.001092,1
1.6751,345.64,631.3,22.885,3.2247e-19,1.4558e+05,1.4636,1,0.007115,0.507,0.001274,1
1.6736,345.86,630.87,23.268,3.6854e-19,1.4603e+05,1.467,1,0.0081314,0.508,0.001456,1
1.6721,346.09,630.44,23.65,4.1461e-19,1.4647e+05,1.4705,1,0.0091478,0.509,0.001638,1
1.6706,346.32,630.01,24.033,4.6068e-19,1.4692e+05,1.4739,1,0.010164,0.51,0.00182,1
1.6691,346.54,629.58,24.416,5.0674e-19,1.4736e+05,1.4774,1,0.011181,0.511,0.002002,1
1.6676,346.77,629.15,24.798,5.5281e-19,1.4781e+05,1.4809,1,0.012197,0.512,0.002184,1
1.6662,347,628.72,25.181,5.9888e-19,1.4825e+05,1.4843,1,0.013214,0.513,0.002366,1
1.6647,347.22,628.28,25.564,6.4495e-19,1.487e+05,1.4878,1,0.01423,0.514,0.002548,1
1.6632,347.45,627.85,25.946,6.9101e-19,1.4915e+05,1.4913,1,0.015246,0.515,0.00273,1
1.6617,347.68,627.42,26.329,7.3708e-19,1.4959e+05,1.4947,1,0.016263,0.516,0.002912,1
1.6602,347.9,626.99,26.711,7.8315e-19,1.5004e+05,1.4982,1,0.017279,0.517,0.003094,1
1.6587,348.13,626.56,27.094,8.2922e-19,1.5048e+05,1.5017,1,0.018296,0.518,0.003276,1
1.6571,348.37,626.09,27.528,9.3005e-19,1.5097e+05,1.5055,1,0.019312,0.519,0.003458,1
1.6547,348.74,625.35,28.299,1.3907e-18,1.5174e+05,1.5115,1,0.020329,0.52,0.00364,1
1.6523,349.11,624.61,29.07,1.8514e-18,1.5251e+05,1.5175,1,0.021345,0.521,0.003822,1
1.6498,349.48,623.87,29.842,2.3121e-18,1.5329e+05,1.5235,1,0.022361,0.522,0.004004,1
1.6474,349.84,623.14,30.613,2.7727e-18,1.5406e+05,1.5296,1,0.023378,0.523,0.004186,1
1.645,350.21,622.4,31.384,3.2334e-18,1.5483e+05,1.5356,1,0.024394,0.524,0.004368,1
1.6426,350.58,621.66,32.155,3.694e-18,1.556e+05,1.5416,1,0.025411,0.525,0.00455,1
1.6402,350.94,620.93,32.926,4.1547e-18,1.5638e+05,1.5476,1,0.026427,0.526,0.004732,1
1.6378,351.31,620.19,33.698,4.6154e-18,1.5715e+05,1.5537,1,0.027444,0.527,0.004914,1
1.6353,351.68,619.45,34.469,5.076e-18,1.5792e+05,1.5597,1,0.02846,0.528,0.005096,1
1.6329,352.04,618.71,35.24,5.5367e-18,1.5869e+05,1.5657,1,0.029476,0.529,0.005278,1
1.6305,352.41,617.98,36.011,5.9974e-18,1.5946e+05,1.5717,1,0.030493,0.53,0.00546,1
1.6281,352.78,617.24,36.783,6.458e-18,1.6024e+05,1.5778,1,0.031509,0.531,0.005642,1
1.6257,353.14,616.5,37.554,6.9187e-18,1.6101e+05,1.5838,1,0.032526,0.532,0.005824,1
1.6232,353.51,615.77,38.325,7.3794e-18,1.6178e+05,1.5898,1,0.033542,0.533,0.006006,1
1.6208,353.88,615.03,39.096,7.84e-18,1.6255e+05,1.5958,1,0.034559,0.534,0.006188,1
1.6184,354.24,614.29,39.867,8.3007e-18,1.6333e+05,1.6019,1,0.035575,0.535,0.00637,1
1.616,354.61,613.55,40.639,8.7614e-18,1.641e+05,1.6079,1,0.036591,0.536,0.006552,1
1.6136,354.98,612.82,41.41,9.222e-18,1.6487e+05,1.6139,1,0.037608,0.537,0.006734,1
1.6114,355.31,612.14,42.175,9.6848e-18,1.6558e+05,1.6195,1,0.038624,0.538,0.006916,1
1.61,355.52,611.63,42.921,1.0153e-17,1.6612e+05,1.6237,1,0.039641,0.539,0.007098,1
1.6085,355.74,611.12,43.668,1.0622e-17,1.6666e+05,1.628,1,0.040657,0.54,0.00728,1
1.6071,355.95,610.62,44.414,1.1091e-17,1.672e+05,1.6322,1,0.041674,0.541,0.007462,1
1.6056,356.17,610.11,45.161,1.1559e-17,1.6774e+05,1.6365,1,0.04269,0.542,0.007644,1
1.6042,356.39,609.6,45.907,1.2028e-17,1.6828e+05,1.6407,1,0.043706,0.543,0.007826,1
1.6027,356.6,609.09,46.654,1.2497e-17,1.6882e+05,1.645,1,0.044723,0.544,0.008008,1
1.6012,356.82,608.58,47.4,1.2965e-17,1.6935e+05,1.6493,1,0.045739,0.545,0.00819,1
1.5998,357.03,608.07,48.147,1.3434e-17,1.6989e+05,1.6535,1,0.046756,0.546,0.008372,1
1.5983,357.25,607.57,48.893,1.3903e-17,1.7043e+05,1.6578,1,0.047772,0.547,0.008554,1
1.5969,357.47,607.06,49.64,1.4371e-17,1.7097e+05,1.662,1,0.048788,0.548,0.008736,1
1.5954,357.68,606.55,50.386,1.484e-17,1.7151e+05,1.6663,1,0.049805,0.549,0.008918,1
1.594,357.9,606.04,51.133,1.5309e-17,1.7205e+05,1.6705,1,0.050821,0.55,0.0091,1
1.5925,358.11,605.53,51.88,1.5777e-17,1.7259e+05,1.6748,1,0.051838,0.551,0.009282,1
1.5911,358.33,605.03,52.626,1.6246e-17,1.7313e+05,1.679,1,0.052854,0.552,0.009464,1
1.5896,358.55,604.52,53.373,1.6714e-17,1.7367e+05,1.6833,1,0.053871,0.553,0.009646,1
1.5882,358.76,604.01,54.119,1.7183e-17,1.7421e+05,1.6875,1,0.054887,0.554,0.009828,1
1.5867,358.98,603.5,54.866,1.7652e-17,1.7475e+05,1.6918,1,0.055903,0.555,0.01001,1
1.5853,359.19,602.99,55.612,1.812e-17,1.7528e+05,1.696,1,0.05692,0.556,0.010192,1
1.5841,359.37,602.56,56.324,1.8411e-17,1.7574e+05,1.6996,1,0.057936,0.557,0.010374,1
1.5834,359.47,602.24,56.983,1.843e-17,1.7606e+05,1.7023,1,0.058953,0.558,0.010556,1
1.5826,359.57,601.93,57.642,1.8449e-17,1.7638e+05,1.7049,1,0.059969,0.559,0.010738,1
1.5819,359.68,601.61,58.301,1.8468e-17,1.7671e+05,1.7075,1,0.060986,0.56,0.01092,1
1.5812,359.78,601.29,58.96,1.8487e-17,1.7703e+05,1.7101,1,0.062002,0.561,0.011102,1
1.5804,359.89,600.98,59.619,1.8506e-17,1.7735e+05,1.7128,1,0.063018,0.562,0.011284,1
1.5797,359.99,600.66,60.278,1.8525e-17,1.7768e+05,1.7154,1,0.064035,0.563,0.011466,1
1.579,360.1,600.35,60.936,1.8544e-17,1.78e+05,1.718,1,0.065051,0.564,0.011648,1
1.5782,360.2,600.03,61.595,1.8563e-17,1.7832e+05,1.7206,1,0.066068,0.565,0.01183,1
1.5775,360.3,599.71,62.254,1.8582e-17,1.7865e+05,1.7233,1,0.067084,0.566,0.012012,1
1.5768,360.41,599.4,62.913,1.8601e-17,1.7897e+05,1.7259,1,0.068101,0.567,0.012194,1
1.576,360.51,599.08,63.572,1.862e-17,1.7929e+05,1.7285,1,0.069117,0.568,0.012376,1
1.5753,360.62,598.76,64.231,1.8639e-17,1.7962e+05,1.7311,1,0.070133,0.569,0.012558,1
1.5745,360.72,598.45,64.89,1.8658e-17,1.7994e+05,1.7338,1,0.07115,0.57,0.01274,1
1.5738,360.83,598.13,65.549,1.8677e-17,1.8026e+05,1.7364,1,0.072166,0.571,0.012922,1
1.5731,360.93,597.82,66.208,1.8696e-17,1.8059e+05,1.739,1,0.073183,0.572,0.013104,1
1.5723,361.04,597.5,66.867,1.8715e-17,1.8091e+05,1.7416,1,0.074199,0.573,0.013286,1
1.5716,361.14,597.18,67.526,1.8734e-17,1.8123e+05,1.7443,1,0.075216,0.574,0.013468,1
1.5709,361.24,596.87,68.185,1.8753e-17,1.8156e+05,1.7469,1,0.076232,0.575,0.01365,1
1.5704,361.31,596.63,68.777,1.7958e-17,1.8178e+05,1.7488,1,0.077248,0.576,0.013832,1
1.5702,361.33,596.47,69.311,1.6437e-17,1.8193e+05,1.75,1,0.078265,0.577,0.014014,1
1.57,361.36,596.32,69.845,1.4917e-17,1.8207e+05,1.7513,1,0.079281,0.578,0.014196,1
1.5698,361.38,596.16,70.378,1.3396e-17,1.8222e+05,1.7526,1,0.080298,0.579,0.014378,1
1.5695,361.41,596,70.912,1.1876e-17,1.8236e+05,1.7538,1,0.081314,0.58,0.01456,1
1.5693,361.43,595.84,71.445,1.0355e-17,1.825e+05,1.7551,1,0.082331,0.581,0.014742,1
1.5691,361.46,595.68,71.979,8.8342e-18,1.8265e+05,1.7564,1,0.083347,0.582,0.014924,1
1.5689,361.48,595.52,72.513,7.3135e-18,1.8279e+05,1.7576,1,0.084363,0.583,0.015106,1
1.5687,361.51,595.36,73.046,5.7929e-18,1.8294e+05,1.7589,1,0.08538,0.584,0.015288,1
1.5685,361.53,595.2,73.58,4.2723e-18,1.8308e+05,1.7602,1,0.086396,0.585,0.01547,1
1.5683,361.56,595.04,74.114,2.7515e-18,1.8322e+05,1.7614,1,0.087413,0.586,0.015652,1
1.568,361.58,594.88,74.647,1.2309e-18,1.8337e+05,1.7627,1,0.088429,0.587,0.015834,1
1.5678,361.61,594.73,75.181,-2.8975e-19,1.8351e+05,1.764,1,0.089446,0.588,0.016016,1
1.5676,361.63,594.57,75.714,-1.8104e-18,1.8366e+05,1.7652,1,0.090462,0.589,0.016198,1
1.5674,361.66,594.41,76.248,-3.331e-18,1.838e+05,1.7665,1,0.091478,0.59,0.01638,1
1.5672,361.68,594.25,76.782,-4.8518e-18,1.8394e+05,1.7678,1,0.092495,0.591,0.016562,1
1.567,361.71,594.09,77.315,-6.3724e-18,1.8409e+05,1.769,1,0.093511,0.592,0.016744,1
1.5668,361.73,593.93,77.849,-7.8931e-18,1.8423e+05,1.7703,1,0.094528,0.593,0.016926,1
1.5666,361.76,593.77,78.383,-9.4137e-18,1.8438e+05,1.7715,1,0.095544,0.594,0.017108,1
1.5666,361.75,593.69,78.825,-9.9197e-18,1.8443e+05,1.7721,1,0.096561,0.595,0.01729,1
1.5667,361.72,593.65,79.221,-9.9039e-18,1.8444e+05,1.7724,1,0.097577,0.596,0.017472,1
1.5668,361.7,593.61,79.617,-9.8882e-18,1.8446e+05,1.7726,1,0.098593,0.597,0.017654,1
1.567,361.67,593.57,80.013,-9.8724e-18,1.8447e+05,1.7728,1,0.09961,0.598,0.017836,1
1.5671,361.65,593.53,80.409,-9.8566e-18,1.8448e+05,1.7731,1,0.10063,0.599,0.018018,1
1.5672,361.62,593.48,80.805,-9.8408e-18,1.8449e+05,1.7733,1,0.10164,0.6,0.0182,1
1.5674,361.6,593.44,81.201,-9.825e-18,1.845e+05,1.7735,1,0.10266,0.601,0.018382,1
1.5675,361.57,593.4,81.597,-9.8093e-18,1.8451e+05,1.7738,1,0.10368,0.602,0.018564,1
1.5676,361.54,593.36,81.993,-9.7935e-18,1.8452e+05,1.774,1,0.10469,0.603,0.018746,1
1.5678,361.52,593.32,82.388,-9.7777e-18,1.8454e+05,1.7742,1,0.10571,0.604,0.018928,1
1.5679,361.49,593.28,82.784,-9.7619e-18,1.8455e+05,1.7745,1,0.10672,0.605,0.01911,1
1.568,361.47,593.23,83.18,-9.7461e-18,1.8456e+05,1.7747,1,0.10774,0.606,0.019292,1
1.5682,361.44,593.19,83.576,-9.7304e-18,1.8457e+05,1.775,1,0.10876,0.607,0.019474,1
1.5683,361.42,593.15,83.972,-9.7146e-18,1.8458e+05,1.7752,1,0.10977,0.608,0.019656,1
1.5684,361.39,593.11,84.368,-9.6988e-18,1.8459e+05,1.7754,1,0.11079,0.609,0.019838,1
1.5686,361.36,593.07,84.764,-9.683e-18,1.846e+05,1.7757,1,0.11181,0.61,0.02002,1
1.5687,361.34,593.03,85.16,-9.6672e-18,1.8462e+05,1.7759,1,0.11282,0.611,0.020202,1
1.5689,361.31,592.99,85.556,-9.6515e-18,1.8463e+05,1.7761,1,0.11384,0.612,0.020384,1
1.569,361.29,592.94,85.952,-9.6357e-18,1.8464e+05,1.7764,1,0.11486,0.613,0.020566,1
1.5693,361.24,592.96,86.248,-8.8352e-18,1.8458e+05,1.7761,1,0.11587,0.614,0.020748,1
1.5696,361.19,593,86.517,-7.8292e-18,1.8451e+05,1.7756,1,0.11689,0.615,0.02093,1
1.5699,361.14,593.04,86.787,-6.8233e-18,1.8444e+05,1.7752,1,0.11791,0.616,0.021112,1
1.5703,361.08,593.07,87.057,-5.8174e-18,1.8437e+05,1.7748,1,0.11892,0.617,0.021294,1
1.5706,361.03,593.11,87.327,-4.8114e-18,1.843e+05,1.7743,1,0.11994,0.618,0.021476,1
1.571,360.98,593.14,87.596,-3.8054e-18,1.8422e+05,1.7739,1,0.12095,0.619,0.021658,1
1.5713,360.93,593.18,87.866,-2.7995e-18,1.8415e+05,1.7735,1,0.12197,0.62,0.02184,1
1.5716,360.87,593.22,88.136,-1.7936e-18,1.8408e+05,1.773,1,0.12299,0.621,0.022022,1
1.572,360.82,593.25,88.406,-7.8764e-19,1.8401e+05,1.7726,1,0.124,0.622,0.022204,1
1.5723,360.77,593.29,88.675,2.1836e-19,1.8394e+05,1.7721,1,0.12502,0.623,0.022386,1
1.5726,360.72,593.33,88.945,1.2243e-18,1.8387e+05,1.7717,1,0.12604,0.624,0.022568,1
1.573,360.66,593.36,89.215,2.2302e-18,1.8379e+05,1.7713,1,0.12705,0.625,0.02275,1
1.5733,360.61,593.4,89.485,3.2362e-18,1.8372e+05,1.7708,1,0.12807,0.626,0.022932,1
1.5736,360.56,593.43,89.754,4.2421e-18,1.8365e+05,1.7704,1,0.12909,0.627,0.023114,1
1.574,360.51,593.47,90.024,5.2481e-18,1.8358e+05,1.77,1,0.1301,0.628,0.023296,1
1.5743,360.45,593.51,90.294,6.254e-18,1.8351e+05,1.7695,1,0.13112,0.629,0.023478,1
1.5746,360.4,593.54,90.564,7.26e-18,1.8343e+05,1.7691,1,0.13214,0.63,0.02366,1
1.575,360.35,593.58,90.833,8.2659e-18,1.8336e+05,1.7687,1,0.13315,0.631,0.023842,1
1.5753,360.3,593.61,91.103,9.2719e-18,1.8329e+05,1.7682,1,0.13417,0.632,0.024024,1
1.5757,360.24,593.69,91.279,8.8898e-18,1.8318e+05,1.7675,1,0.13518,0.633,0.024206,1
1.5761,360.18,593.76,91.446,8.3943e-18,1.8307e+05,1.7667,1,0.1362,0.634,0.024388,1
1.5765,360.12,593.83,91.614,7.8989e-18,1.8297e+05,1.766,1,0.13722,0.635,0.02457,1
1.5769,360.06,593.91,91.782,7.4035e-18,1.8286e+05,1.7652,1,0.13823,0.636,0.024752,1
1.5773,360,593.98,91.95,6.908e-18,1.8275e+05,1.7644,1,0.13925,0.637,0.024934,1
1.5777,359.94,594.06,92.117,6.4126e-18,1.8264e+05,1.7637,1,0.14027,0.638,0.025116,1
1.5781,359.88,594.13,92.285,5.9172e-18,1.8253e+05,1.7629,1,0.14128,0.639,0.025298,1
1.5785,359.82,594.21,92.453,5.4217e-18,1.8242e+05,1.7622,1,0.1423,0.64,0.02548,1
1.5789,359.76,594.28,92.621,4.9263e-18,1.8231e+05,1.7614,1,0.14332,0.641,0.025662,1
1.5793,359.7,594.36,92.788,4.4309e-18,1.822e+05,1.7606,1,0.14433,0.642,0.025844,1
1.5797,359.64,594.43,92.956,3.9354e-18,1.8209e+05,1.7599,1,0.14535,0.643,0.026026,1
1.5801,359.58,594.5,93.124,3.44e-18,1.8199e+05,1.7591,1,0.14637,0.644,0.026208,1
1.5805,359.52,594.58,93.291,2.9446e-18,1.8188e+05,1.7584,1,0.14738,0.645,0.02639,1
1.5809,359.47,594.65,93.459,2.4491e-18,1.8177e+05,1.7576,1,0.1484,0.646,0.026572,1
1.5813,359.41,594.73,93.627,1.9537e-18,1.8166e+05,1.7568,1,0.14941,0.647,0.026754,1
1.5817,359.35,594.8,93.795,1.4583e-18,1.8155e+05,1.7561,1,0.15043,0.648,0.026936,1
1.5821,359.29,594.88,93.962,9.6283e-19,1.8144e+05,1.7553,1,0.15145,0.649,0.027118,1
1.5825,359.23,594.95,94.13,4.674e-19,1.8133e+05,1.7545,1,0.15246,0.65,0.0273,1
1.5829,359.17,595.03,94.293,2.8691e-20,1.8122e+05,1.7538,1,0.15348,0.651,0.027482,1
1.5833,359.12,595.11,94.384,5.3536e-19,1.8111e+05,1.753,1,0.1545,0.652,0.027664,1
1.5837,359.07,595.19,94.475,1.042e-18,1.81e+05,1.7521,1,0.15551,0.653,0.027846,1
1.584,359.01,595.27,94.566,1.5487e-18,1.8089e+05,1.7513,1,0.15653,0.654,0.028028,1
1.5844,358.96,595.35,94.656,2.0554e-18,1.8078e+05,1.7505,1,0.15755,0.655,0.02821,1
1.5848,358.91,595.43,94.747,2.5621e-18,1.8067e+05,1.7497,1,0.15856,0.656,0.028392,1
1.5851,358.86,595.51,94.838,3.0687e-18,1.8056e+05,1.7489,1,0.15958,0.657,0.028574,1
1.5855,358.81,595.59,94.929,3.5754e-18,1.8045e+05,1.7481,1,0.1606,0.658,0.028756,1
1.5859,358.76,595.67,95.019,4.0821e-18,1.8034e+05,1.7472,1,0.16161,0.659,0.028938,1
1.5862,358.71,595.76,95.11,4.5888e-18,1.8023e+05,1.7464,1,0.16263,0.66,0.02912,1
1.5866,358.66,595.84,95.201,5.0954e-18,1.8012e+05,1.7456,1,0.16364,0.661,0.029302,1
1.5869,358.6,595.92,95.292,5.6021e-18,1.8001e+05,1.7448,1,0.16466,0.662,0.029484,1
1.5873,358.55,596,95.382,6.1088e-18,1.799e+05,1.744,1,0.16568,0.663,0.029666,1
1.5877,358.5,596.08,95.473,6.6154e-18,1.7979e+05,1.7432,1,0.16669,0.664,0.029848,1
1.588,358.45,596.16,95.564,7.1221e-18,1.7968e+05,1.7424,1,0.16771,0.665,0.03003,1
1.5884,358.4,596.24,95.655,7.6288e-18,1.7957e+05,1.7415,1,0.16873,0.666,0.030212,1
1.5888,358.35,596.32,95.745,8.1355e-18,1.7946e+05,1.7407,1,0.16974,0.667,0.030394,1
1.5891,358.3,596.4,95.836,8.6421e-18,1.7935e+05,1.7399,1,0.17076,0.668,0.030576,1
1.5895,358.25,596.49,95.927,9.1489e-18,1.7924e+05,1.7391,1,0.17178,0.669,0.030758,1
