"Ma","T","U:0","U:1","U:2","ddt0(rho)","ddt0(rho,K)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddt0(rho,e)","ddt0(thermo:psi,p)","ddtCorrDdt0(rho,U):0","ddtCorrDdt0(rho,U):1","ddtCorrDdt0(rho,U):2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4716,375.72,584.31,34.157,1.9081e-17,3.1544e-08,-0.0036801,2.7095e-06,7.4035e-07,1.1927e-24,0.0061804,3.1544e-08,2.7095e-06,7.4035e-07,1.1927e-24,1.7676e+05,1.6352,1,0,0.5,0,1
1.4696,376.04,583.6,34.75,1.8575e-17,3.1864e-08,-0.0037288,2.6998e-06,7.377e-07,1.1611e-24,0.0062212,3.1864e-08,2.6998e-06,7.377e-07,1.1611e-24,1.7751e+05,1.6406,1,0.0010366,0.501,0.000273,1
1.4676,376.36,582.89,35.344,1.8069e-17,3.2184e-08,-0.0037774,2.6901e-06,7.3506e-07,1.1295e-24,0.006262,3.2184e-08,2.6901e-06,7.3506e-07,1.1295e-24,1.7826e+05,1.6459,1,0.0020732,0.502,0.000546,1
1.4657,376.69,582.17,35.938,1.7564e-17,3.2503e-08,-0.0038261,2.6804e-06,7.3241e-07,1.0979e-24,0.0063028,3.2503e-08,2.6804e-06,7.3241e-07,1.0979e-24,1.7901e+05,1.6513,1,0.0031098,0.503,0.000819,1
1.4637,377.01,581.46,36.531,1.7058e-17,3.2823e-08,-0.0038747,2.6708e-06,7.2976e-07,1.0663e-24,0.0063436,3.2823e-08,2.6708e-06,7.2976e-07,1.0663e-24,1.7976e+05,1.6566,1,0.0041464,0.504,0.001092,1
1.4618,377.33,580.75,37.125,1.6552e-17,3.3143e-08,-0.0039234,2.6611e-06,7.2712e-07,1.0347e-24,0.0063844,3.3143e-08,2.6611e-06,7.2712e-07,1.0347e-24,1.8051e+05,1.662,1,0.005183,0.505,0.001365,1
1.4598,377.66,580.04,37.718,1.6047e-17,3.3462e-08,-0.003972,2.6514e-06,7.2447e-07,1.0031e-24,0.0064252,3.3462e-08,2.6514e-06,7.2447e-07,1.0031e-24,1.8126e+05,1.6674,1,0.0062196,0.506,0.001638,1
1.4579,377.98,579.33,38.312,1.5541e-17,3.3782e-08,-0.0040207,2.6417e-06,7.2182e-07,9.7145e-25,0.006466,3.3782e-08,2.6417e-06,7.2182e-07,9.7145e-25,1.8201e+05,1.6727,1,0.0072562,0.507,0.001911,1
1.4559,378.3,578.62,38.906,1.5036e-17,3.4102e-08,-0.0040693,2.6321e-06,7.1918e-07,9.3985e-25,0.0065068,3.4102e-08,2.6321e-06,7.1918e-07,9.3985e-25,1.8276e+05,1.6781,1,0.0082928,0.508,0.002184,1
1.4539,378.63,577.91,39.499,1.453e-17,3.4421e-08,-0.0041179,2.6224e-06,7.1653e-07,9.0824e-25,0.0065476,3.4421e-08,2.6224e-06,7.1653e-07,9.0824e-25,1.8351e+05,1.6834,1,0.0093294,0.509,0.002457,1
1.452,378.95,577.19,40.093,1.4024e-17,3.4741e-08,-0.0041666,2.6127e-06,7.1388e-07,8.7663e-25,0.0065884,3.4741e-08,2.6127e-06,7.1388e-07,8.7663e-25,1.8426e+05,1.6888,1,0.010366,0.51,0.00273,1
1.45,379.27,576.48,40.687,1.3519e-17,3.5061e-08,-0.0042152,2.603e-06,7.1124e-07,8.4503e-25,0.0066292,3.5061e-08,2.603e-06,7.1124e-07,8.4503e-25,1.8501e+05,1.6942,1,0.011403,0.511,0.003003,1
1.4481,379.59,575.77,41.28,1.3013e-17,3.538e-08,-0.0042639,2.5933e-06,7.0859e-07,8.1342e-25,0.00667,3.538e-08,2.5933e-06,7.0859e-07,8.1342e-25,1.8576e+05,1.6995,1,0.012439,0.512,0.003276,1
1.4461,379.92,575.06,41.874,1.2507e-17,3.57e-08,-0.0043125,2.5837e-06,7.0594e-07,7.8181e-25,0.0067108,3.57e-08,2.5837e-06,7.0594e-07,7.8181e-25,1.8651e+05,1.7049,1,0.013476,0.513,0.003549,1
1.4441,380.24,574.35,42.467,1.2002e-17,3.602e-08,-0.0043612,2.574e-06,7.033e-07,7.5021e-25,0.0067516,3.602e-08,2.574e-06,7.033e-07,7.5021e-25,1.8726e+05,1.7102,1,0.014512,0.514,0.003822,1
1.4422,380.56,573.64,43.061,1.1496e-17,3.634e-08,-0.0044098,2.5643e-06,7.0065e-07,7.186e-25,0.0067924,3.634e-08,2.5643e-06,7.0065e-07,7.186e-25,1.8801e+05,1.7156,1,0.015549,0.515,0.004095,1
1.4402,380.89,572.93,43.655,1.099e-17,3.6659e-08,-0.0044584,2.5546e-06,6.9801e-07,6.87e-25,0.0068331,3.6659e-08,2.5546e-06,6.9801e-07,6.87e-25,1.8876e+05,1.721,1,0.016585,0.516,0.004368,1
1.4383,381.21,572.21,44.248,1.0485e-17,3.6979e-08,-0.0045071,2.545e-06,6.9536e-07,6.5539e-25,0.0068739,3.6979e-08,2.545e-06,6.9536e-07,6.5539e-25,1.8951e+05,1.7263,1,0.017622,0.517,0.004641,1
1.4363,381.53,571.5,44.842,9.9791e-18,3.7299e-08,-0.0045557,2.5353e-06,6.9271e-07,6.2378e-25,0.0069147,3.7299e-08,2.5353e-06,6.9271e-07,6.2378e-25,1.9026e+05,1.7317,1,0.018659,0.518,0.004914,1
1.4342,381.88,570.73,45.509,9.4093e-18,3.7638e-08,-0.0046157,2.5101e-06,6.8582e-07,5.7625e-25,0.0069647,3.7638e-08,2.5101e-06,6.8582e-07,5.7625e-25,1.9107e+05,1.7375,1,0.019695,0.519,0.005187,1
1.4312,382.37,569.55,46.656,8.4178e-18,3.8109e-08,-0.0047503,2.3827e-06,6.5106e-07,4.2405e-25,0.0070749,3.8109e-08,2.3827e-06,6.5106e-07,4.2405e-25,1.9233e+05,1.7465,1,0.020732,0.52,0.00546,1
1.4282,382.87,568.37,47.804,7.4263e-18,3.858e-08,-0.0048849,2.2553e-06,6.163e-07,2.7184e-25,0.0071851,3.858e-08,2.2553e-06,6.163e-07,2.7184e-25,1.9359e+05,1.7556,1,0.021769,0.521,0.005733,1
1.4251,383.36,567.2,48.952,6.4348e-18,3.9051e-08,-0.0050194,2.1279e-06,5.8154e-07,1.1964e-25,0.0072953,3.9051e-08,2.1279e-06,5.8154e-07,1.1964e-25,1.9485e+05,1.7646,1,0.022805,0.522,0.006006,1
1.4221,383.86,566.02,50.099,5.4433e-18,3.9522e-08,-0.005154,2.0005e-06,5.4679e-07,-3.2559e-26,0.0074055,3.9522e-08,2.0005e-06,5.4679e-07,-3.2559e-26,1.961e+05,1.7736,1,0.023842,0.523,0.006279,1
1.4191,384.35,564.84,51.247,4.4518e-18,3.9992e-08,-0.0052886,1.8731e-06,5.1203e-07,-1.8476e-25,0.0075157,3.9992e-08,1.8731e-06,5.1203e-07,-1.8476e-25,1.9736e+05,1.7827,1,0.024878,0.524,0.006552,1
1.4161,384.85,563.66,52.395,3.4603e-18,4.0463e-08,-0.0054231,1.7457e-06,4.7727e-07,-3.3696e-25,0.0076259,4.0463e-08,1.7457e-06,4.7727e-07,-3.3696e-25,1.9862e+05,1.7917,1,0.025915,0.525,0.006825,1
1.413,385.34,562.49,53.543,2.4687e-18,4.0934e-08,-0.0055577,1.6183e-06,4.4251e-07,-4.8916e-25,0.0077361,4.0934e-08,1.6183e-06,4.4251e-07,-4.8916e-25,1.9988e+05,1.8008,1,0.026951,0.526,0.007098,1
1.41,385.84,561.31,54.69,1.4773e-18,4.1405e-08,-0.0056923,1.4909e-06,4.0775e-07,-6.4136e-25,0.0078463,4.1405e-08,1.4909e-06,4.0775e-07,-6.4136e-25,2.0114e+05,1.8098,1,0.027988,0.527,0.007371,1
1.407,386.33,560.13,55.838,4.8575e-19,4.1876e-08,-0.0058269,1.3635e-06,3.7299e-07,-7.9356e-25,0.0079565,4.1876e-08,1.3635e-06,3.7299e-07,-7.9356e-25,2.0239e+05,1.8188,1,0.029025,0.528,0.007644,1
1.404,386.83,558.95,56.986,-5.0574e-19,4.2347e-08,-0.0059614,1.2361e-06,3.3823e-07,-9.4576e-25,0.0080667,4.2347e-08,1.2361e-06,3.3823e-07,-9.4576e-25,2.0365e+05,1.8279,1,0.030061,0.529,0.007917,1
1.4009,387.32,557.78,58.133,-1.4972e-18,4.2817e-08,-0.006096,1.1088e-06,3.0347e-07,-1.098e-24,0.0081769,4.2817e-08,1.1088e-06,3.0347e-07,-1.098e-24,2.0491e+05,1.8369,1,0.031098,0.53,0.00819,1
1.3979,387.82,556.6,59.281,-2.4888e-18,4.3288e-08,-0.0062306,9.8136e-07,2.6871e-07,-1.2502e-24,0.0082871,4.3288e-08,9.8136e-07,2.6871e-07,-1.2502e-24,2.0617e+05,1.8459,1,0.032134,0.531,0.008463,1
1.3949,388.31,555.42,60.429,-3.4803e-18,4.3759e-08,-0.0063651,8.5397e-07,2.3395e-07,-1.4024e-24,0.0083973,4.3759e-08,8.5397e-07,2.3395e-07,-1.4024e-24,2.0742e+05,1.855,1,0.033171,0.532,0.008736,1
1.3919,388.81,554.25,61.576,-4.4718e-18,4.423e-08,-0.0064997,7.2658e-07,1.9919e-07,-1.5546e-24,0.0085075,4.423e-08,7.2658e-07,1.9919e-07,-1.5546e-24,2.0868e+05,1.864,1,0.034208,0.533,0.009009,1
1.3888,389.3,553.07,62.724,-5.4633e-18,4.4701e-08,-0.0066343,5.9919e-07,1.6444e-07,-1.7068e-24,0.0086177,4.4701e-08,5.9919e-07,1.6444e-07,-1.7068e-24,2.0994e+05,1.873,1,0.035244,0.534,0.009282,1
1.3858,389.8,551.89,63.872,-6.4548e-18,4.5172e-08,-0.0067688,4.7179e-07,1.2967e-07,-1.859e-24,0.0087279,4.5172e-08,4.7179e-07,1.2967e-07,-1.859e-24,2.112e+05,1.8821,1,0.036281,0.535,0.009555,1
1.3828,390.29,550.71,65.019,-7.4463e-18,4.5642e-08,-0.0069034,3.444e-07,9.4913e-08,-2.0112e-24,0.0088381,4.5642e-08,3.444e-07,9.4913e-08,-2.0112e-24,2.1246e+05,1.8911,1,0.037317,0.536,0.009828,1
1.3798,390.79,549.54,66.167,-8.4378e-18,4.6113e-08,-0.007038,2.1702e-07,6.0155e-08,-2.1634e-24,0.0089483,4.6113e-08,2.1702e-07,6.0155e-08,-2.1634e-24,2.1371e+05,1.9001,1,0.038354,0.537,0.010101,1
1.3771,391.21,548.47,67.28,-9.2997e-18,4.6516e-08,-0.0071785,6.2577e-08,1.8004e-08,-2.3105e-24,0.009063,4.6516e-08,6.2577e-08,1.8004e-08,-2.3105e-24,2.1485e+05,1.9083,1,0.039391,0.538,0.010374,1
1.3756,391.46,547.73,68.297,-9.8004e-18,4.6728e-08,-0.0073356,-1.6721e-07,-4.4739e-08,-2.4434e-24,0.0091903,4.6728e-08,-1.6721e-07,-4.4739e-08,-2.4434e-24,2.1564e+05,1.9141,1,0.040427,0.539,0.010647,1
1.374,391.7,546.99,69.313,-1.0301e-17,4.6941e-08,-0.0074927,-3.9701e-07,-1.0749e-07,-2.5763e-24,0.0093176,4.6941e-08,-3.9701e-07,-1.0749e-07,-2.5763e-24,2.1643e+05,1.9199,1,0.041464,0.54,0.01092,1
1.3725,391.94,546.25,70.33,-1.0802e-17,4.7153e-08,-0.0076498,-6.2679e-07,-1.7023e-07,-2.7091e-24,0.0094448,4.7153e-08,-6.2679e-07,-1.7023e-07,-2.7091e-24,2.1722e+05,1.9257,1,0.0425,0.541,0.011193,1
1.3709,392.19,545.52,71.346,-1.1303e-17,4.7365e-08,-0.0078069,-8.5658e-07,-2.3298e-07,-2.842e-24,0.0095721,4.7365e-08,-8.5658e-07,-2.3298e-07,-2.842e-24,2.1801e+05,1.9314,1,0.043537,0.542,0.011466,1
1.3694,392.43,544.78,72.362,-1.1803e-17,4.7578e-08,-0.007964,-1.0864e-06,-2.9572e-07,-2.9749e-24,0.0096994,4.7578e-08,-1.0864e-06,-2.9572e-07,-2.9749e-24,2.188e+05,1.9372,1,0.044574,0.543,0.011739,1
1.3679,392.68,544.04,73.379,-1.2304e-17,4.779e-08,-0.0081211,-1.3162e-06,-3.5847e-07,-3.1078e-24,0.0098266,4.779e-08,-1.3162e-06,-3.5847e-07,-3.1078e-24,2.1958e+05,1.943,1,0.04561,0.544,0.012012,1
1.3663,392.92,543.3,74.395,-1.2805e-17,4.8002e-08,-0.0082782,-1.5459e-06,-4.2122e-07,-3.2407e-24,0.0099539,4.8002e-08,-1.5459e-06,-4.2122e-07,-3.2407e-24,2.2037e+05,1.9488,1,0.046647,0.545,0.012285,1
1.3648,393.16,542.56,75.412,-1.3306e-17,4.8215e-08,-0.0084353,-1.7757e-06,-4.8396e-07,-3.3736e-24,0.010081,4.8215e-08,-1.7757e-06,-4.8396e-07,-3.3736e-24,2.2116e+05,1.9546,1,0.047683,0.546,0.012558,1
1.3632,393.41,541.82,76.428,-1.3807e-17,4.8427e-08,-0.0085924,-2.0055e-06,-5.467e-07,-3.5065e-24,0.010208,4.8427e-08,-2.0055e-06,-5.467e-07,-3.5065e-24,2.2195e+05,1.9604,1,0.04872,0.547,0.012831,1
1.3617,393.65,541.08,77.445,-1.4307e-17,4.8639e-08,-0.0087495,-2.2353e-06,-6.0944e-07,-3.6394e-24,0.010336,4.8639e-08,-2.2353e-06,-6.0944e-07,-3.6394e-24,2.2274e+05,1.9661,1,0.049757,0.548,0.013104,1
1.3601,393.89,540.34,78.461,-1.4808e-17,4.8852e-08,-0.0089067,-2.4651e-06,-6.722e-07,-3.7723e-24,0.010463,4.8852e-08,-2.4651e-06,-6.722e-07,-3.7723e-24,2.2353e+05,1.9719,1,0.050793,0.549,0.013377,1
1.3586,394.14,539.6,79.478,-1.5309e-17,4.9064e-08,-0.0090638,-2.6949e-06,-7.3494e-07,-3.9052e-24,0.01059,4.9064e-08,-2.6949e-06,-7.3494e-07,-3.9052e-24,2.2432e+05,1.9777,1,0.05183,0.55,0.01365,1
1.357,394.38,538.86,80.494,-1.581e-17,4.9277e-08,-0.0092209,-2.9247e-06,-7.9768e-07,-4.0381e-24,0.010717,4.9277e-08,-2.9247e-06,-7.9768e-07,-4.0381e-24,2.2511e+05,1.9835,1,0.052866,0.551,0.013923,1
1.3555,394.62,538.12,81.511,-1.631e-17,4.9489e-08,-0.009378,-3.1545e-06,-8.6042e-07,-4.171e-24,0.010845,4.9489e-08,-3.1545e-06,-8.6042e-07,-4.171e-24,2.259e+05,1.9893,1,0.053903,0.552,0.014196,1
1.3539,394.87,537.38,82.527,-1.6811e-17,4.9701e-08,-0.0095351,-3.3842e-06,-9.2317e-07,-4.3038e-24,0.010972,4.9701e-08,-3.3842e-06,-9.2317e-07,-4.3038e-24,2.2669e+05,1.995,1,0.05494,0.553,0.014469,1
1.3524,395.11,536.64,83.544,-1.7312e-17,4.9914e-08,-0.0096922,-3.614e-06,-9.8592e-07,-4.4367e-24,0.011099,4.9914e-08,-3.614e-06,-9.8592e-07,-4.4367e-24,2.2748e+05,2.0008,1,0.055976,0.554,0.014742,1
1.3509,395.35,535.9,84.56,-1.7813e-17,5.0126e-08,-0.0098493,-3.8438e-06,-1.0487e-06,-4.5696e-24,0.011227,5.0126e-08,-3.8438e-06,-1.0487e-06,-4.5696e-24,2.2827e+05,2.0066,1,0.057013,0.555,0.015015,1
1.3493,395.6,535.16,85.577,-1.8313e-17,5.0338e-08,-0.010006,-4.0736e-06,-1.1114e-06,-4.7025e-24,0.011354,5.0338e-08,-4.0736e-06,-1.1114e-06,-4.7025e-24,2.2906e+05,2.0124,1,0.058049,0.556,0.015288,1
1.3482,395.78,534.56,86.511,-1.8627e-17,5.0498e-08,-0.010152,-4.2954e-06,-1.172e-06,-4.7955e-24,0.011472,5.0498e-08,-4.2954e-06,-1.172e-06,-4.7955e-24,2.2969e+05,2.0171,1,0.059086,0.557,0.015561,1
1.3476,395.86,534.16,87.321,-1.8654e-17,5.0577e-08,-0.010281,-4.5051e-06,-1.2292e-06,-4.8276e-24,0.011577,5.0577e-08,-4.5051e-06,-1.2292e-06,-4.8276e-24,2.3007e+05,2.02,1,0.060123,0.558,0.015834,1
1.347,395.94,533.76,88.13,-1.8682e-17,5.0657e-08,-0.01041,-4.7147e-06,-1.2864e-06,-4.8597e-24,0.011682,5.0657e-08,-4.7147e-06,-1.2864e-06,-4.8597e-24,2.3046e+05,2.023,1,0.061159,0.559,0.016107,1
1.3465,396.02,533.37,88.94,-1.871e-17,5.0736e-08,-0.010539,-4.9244e-06,-1.3436e-06,-4.8918e-24,0.011786,5.0736e-08,-4.9244e-06,-1.3436e-06,-4.8918e-24,2.3084e+05,2.026,1,0.062196,0.56,0.01638,1
1.3459,396.1,532.97,89.749,-1.8738e-17,5.0815e-08,-0.010668,-5.134e-06,-1.4008e-06,-4.9239e-24,0.011891,5.0815e-08,-5.134e-06,-1.4008e-06,-4.9239e-24,2.3123e+05,2.0289,1,0.063232,0.561,0.016653,1
1.3454,396.18,532.57,90.559,-1.8765e-17,5.0895e-08,-0.010797,-5.3437e-06,-1.458e-06,-4.956e-24,0.011996,5.0895e-08,-5.3437e-06,-1.458e-06,-4.956e-24,2.3161e+05,2.0319,1,0.064269,0.562,0.016926,1
1.3448,396.26,532.18,91.369,-1.8793e-17,5.0974e-08,-0.010926,-5.5533e-06,-1.5152e-06,-4.9881e-24,0.012101,5.0974e-08,-5.5533e-06,-1.5152e-06,-4.9881e-24,2.32e+05,2.0349,1,0.065306,0.563,0.017199,1
1.3442,396.34,531.78,92.178,-1.8821e-17,5.1053e-08,-0.011055,-5.763e-06,-1.5724e-06,-5.0202e-24,0.012206,5.1053e-08,-5.763e-06,-1.5724e-06,-5.0202e-24,2.3238e+05,2.0378,1,0.066342,0.564,0.017472,1
1.3437,396.42,531.38,92.988,-1.8849e-17,5.1132e-08,-0.011184,-5.9727e-06,-1.6296e-06,-5.0523e-24,0.01231,5.1132e-08,-5.9727e-06,-1.6296e-06,-5.0523e-24,2.3277e+05,2.0408,1,0.067379,0.565,0.017745,1
1.3431,396.5,530.99,93.797,-1.8876e-17,5.1212e-08,-0.011313,-6.1823e-06,-1.6868e-06,-5.0844e-24,0.012415,5.1212e-08,-6.1823e-06,-1.6868e-06,-5.0844e-24,2.3315e+05,2.0438,1,0.068415,0.566,0.018018,1
1.3425,396.58,530.59,94.607,-1.8904e-17,5.1291e-08,-0.011442,-6.392e-06,-1.7441e-06,-5.1165e-24,0.01252,5.1291e-08,-6.392e-06,-1.7441e-06,-5.1165e-24,2.3354e+05,2.0467,1,0.069452,0.567,0.018291,1
1.342,396.66,530.19,95.417,-1.8932e-17,5.137e-08,-0.011571,-6.6016e-06,-1.8013e-06,-5.1486e-24,0.012625,5.137e-08,-6.6016e-06,-1.8013e-06,-5.1486e-24,2.3392e+05,2.0497,1,0.070488,0.568,0.018564,1
1.3414,396.74,529.79,96.226,-1.896e-17,5.145e-08,-0.0117,-6.8113e-06,-1.8585e-06,-5.1807e-24,0.01273,5.145e-08,-6.8113e-06,-1.8585e-06,-5.1807e-24,2.3431e+05,2.0527,1,0.071525,0.569,0.018837,1
1.3409,396.82,529.4,97.036,-1.8988e-17,5.1529e-08,-0.011829,-7.0209e-06,-1.9157e-06,-5.2128e-24,0.012834,5.1529e-08,-7.0209e-06,-1.9157e-06,-5.2128e-24,2.3469e+05,2.0557,1,0.072562,0.57,0.01911,1
1.3403,396.9,529,97.845,-1.9015e-17,5.1608e-08,-0.011958,-7.2306e-06,-1.9729e-06,-5.2449e-24,0.012939,5.1608e-08,-7.2306e-06,-1.9729e-06,-5.2449e-24,2.3508e+05,2.0586,1,0.073598,0.571,0.019383,1
1.3397,396.98,528.6,98.655,-1.9043e-17,5.1688e-08,-0.012087,-7.4402e-06,-2.0301e-06,-5.277e-24,0.013044,5.1688e-08,-7.4402e-06,-2.0301e-06,-5.277e-24,2.3546e+05,2.0616,1,0.074635,0.572,0.019656,1
1.3392,397.06,528.21,99.464,-1.9071e-17,5.1767e-08,-0.012216,-7.6499e-06,-2.0873e-06,-5.3091e-24,0.013149,5.1767e-08,-7.6499e-06,-2.0873e-06,-5.3091e-24,2.3585e+05,2.0646,1,0.075671,0.573,0.019929,1
1.3386,397.14,527.81,100.27,-1.9099e-17,5.1846e-08,-0.012345,-7.8595e-06,-2.1445e-06,-5.3412e-24,0.013254,5.1846e-08,-7.8595e-06,-2.1445e-06,-5.3412e-24,2.3623e+05,2.0675,1,0.076708,0.574,0.020202,1
1.3381,397.22,527.41,101.08,-1.9126e-17,5.1925e-08,-0.012474,-8.0692e-06,-2.2017e-06,-5.3733e-24,0.013358,5.1925e-08,-8.0692e-06,-2.2017e-06,-5.3733e-24,2.3662e+05,2.0705,1,0.077745,0.575,0.020475,1
1.3378,397.25,527.15,101.77,-1.8598e-17,5.2005e-08,-0.012588,-8.2502e-06,-2.2511e-06,-5.2115e-24,0.013453,5.2005e-08,-8.2502e-06,-2.2511e-06,-5.2115e-24,2.3685e+05,2.0723,1,0.078781,0.576,0.020748,1
1.3379,397.24,527.01,102.35,-1.7573e-17,5.2084e-08,-0.012688,-8.4056e-06,-2.2936e-06,-4.8767e-24,0.013538,5.2084e-08,-8.4056e-06,-2.2936e-06,-4.8767e-24,2.3693e+05,2.0732,1,0.079818,0.577,0.021021,1
1.3379,397.22,526.86,102.93,-1.6548e-17,5.2164e-08,-0.012788,-8.561e-06,-2.336e-06,-4.5419e-24,0.013623,5.2164e-08,-8.561e-06,-2.336e-06,-4.5419e-24,2.3702e+05,2.074,1,0.080854,0.578,0.021294,1
1.338,397.21,526.72,103.51,-1.5523e-17,5.2243e-08,-0.012888,-8.7164e-06,-2.3785e-06,-4.2071e-24,0.013708,5.2243e-08,-8.7164e-06,-2.3785e-06,-4.2071e-24,2.3711e+05,2.0749,1,0.081891,0.579,0.021567,1
1.3381,397.19,526.57,104.1,-1.4498e-17,5.2323e-08,-0.012989,-8.8718e-06,-2.4209e-06,-3.8723e-24,0.013793,5.2323e-08,-8.8718e-06,-2.4209e-06,-3.8723e-24,2.372e+05,2.0757,1,0.082928,0.58,0.02184,1
1.3381,397.17,526.43,104.68,-1.3473e-17,5.2402e-08,-0.013089,-9.0272e-06,-2.4633e-06,-3.5375e-24,0.013878,5.2402e-08,-9.0272e-06,-2.4633e-06,-3.5375e-24,2.3728e+05,2.0766,1,0.083964,0.581,0.022113,1
1.3382,397.16,526.28,105.26,-1.2448e-17,5.2482e-08,-0.013189,-9.1826e-06,-2.5058e-06,-3.2027e-24,0.013963,5.2482e-08,-9.1826e-06,-2.5058e-06,-3.2027e-24,2.3737e+05,2.0774,1,0.085001,0.582,0.022386,1
1.3382,397.14,526.14,105.84,-1.1423e-17,5.2561e-08,-0.013289,-9.338e-06,-2.5482e-06,-2.8679e-24,0.014048,5.2561e-08,-9.338e-06,-2.5482e-06,-2.8679e-24,2.3746e+05,2.0783,1,0.086037,0.583,0.022659,1
1.3383,397.13,526,106.42,-1.0398e-17,5.2641e-08,-0.01339,-9.4934e-06,-2.5907e-06,-2.5331e-24,0.014133,5.2641e-08,-9.4934e-06,-2.5907e-06,-2.5331e-24,2.3755e+05,2.0791,1,0.087074,0.584,0.022932,1
1.3384,397.11,525.85,107,-9.3735e-18,5.272e-08,-0.01349,-9.6488e-06,-2.6331e-06,-2.1982e-24,0.014218,5.272e-08,-9.6488e-06,-2.6331e-06,-2.1982e-24,2.3763e+05,2.08,1,0.088111,0.585,0.023205,1
1.3384,397.1,525.71,107.58,-8.3485e-18,5.28e-08,-0.01359,-9.8042e-06,-2.6756e-06,-1.8634e-24,0.014304,5.28e-08,-9.8042e-06,-2.6756e-06,-1.8634e-24,2.3772e+05,2.0808,1,0.089147,0.586,0.023478,1
1.3385,397.08,525.56,108.16,-7.3236e-18,5.2879e-08,-0.01369,-9.9596e-06,-2.718e-06,-1.5286e-24,0.014389,5.2879e-08,-9.9596e-06,-2.718e-06,-1.5286e-24,2.3781e+05,2.0817,1,0.090184,0.587,0.023751,1
1.3386,397.07,525.42,108.74,-6.2986e-18,5.2959e-08,-0.013791,-1.0115e-05,-2.7604e-06,-1.1938e-24,0.014474,5.2959e-08,-1.0115e-05,-2.7604e-06,-1.1938e-24,2.379e+05,2.0825,1,0.09122,0.588,0.024024,1
1.3386,397.05,525.27,109.32,-5.2737e-18,5.3038e-08,-0.013891,-1.027e-05,-2.8029e-06,-8.59e-25,0.014559,5.3038e-08,-1.027e-05,-2.8029e-06,-8.59e-25,2.3798e+05,2.0834,1,0.092257,0.589,0.024297,1
1.3387,397.03,525.13,109.9,-4.2488e-18,5.3118e-08,-0.013991,-1.0426e-05,-2.8453e-06,-5.242e-25,0.014644,5.3118e-08,-1.0426e-05,-2.8453e-06,-5.242e-25,2.3807e+05,2.0842,1,0.093294,0.59,0.02457,1
1.3387,397.02,524.99,110.48,-3.2238e-18,5.3197e-08,-0.014091,-1.0581e-05,-2.8878e-06,-1.8937e-25,0.014729,5.3197e-08,-1.0581e-05,-2.8878e-06,-1.8937e-25,2.3816e+05,2.0851,1,0.09433,0.591,0.024843,1
1.3388,397,524.84,111.07,-2.1989e-18,5.3277e-08,-0.014192,-1.0737e-05,-2.9302e-06,1.4543e-25,0.014814,5.3277e-08,-1.0737e-05,-2.9302e-06,1.4543e-25,2.3825e+05,2.0859,1,0.095367,0.592,0.025116,1
1.3389,396.99,524.7,111.65,-1.1739e-18,5.3356e-08,-0.014292,-1.0892e-05,-2.9726e-06,4.8024e-25,0.014899,5.3356e-08,-1.0892e-05,-2.9726e-06,4.8024e-25,2.3833e+05,2.0868,1,0.096403,0.593,0.025389,1
1.3389,396.97,524.55,112.23,-1.49e-19,5.3436e-08,-0.014392,-1.1047e-05,-3.0151e-06,8.1504e-25,0.014984,5.3436e-08,-1.1047e-05,-3.0151e-06,8.1504e-25,2.3842e+05,2.0876,1,0.09744,0.594,0.025662,1
1.3392,396.93,524.51,112.68,1.882e-19,5.3675e-08,-0.014452,-1.1089e-05,-3.0265e-06,8.925e-25,0.015041,5.3675e-08,-1.1089e-05,-3.0265e-06,8.925e-25,2.3839e+05,2.0876,1,0.098477,0.595,0.025935,1
1.3396,396.86,524.53,113.06,1.7169e-19,5.3996e-08,-0.014491,-1.1072e-05,-3.0219e-06,8.376e-25,0.015084,5.3996e-08,-1.1072e-05,-3.0219e-06,8.376e-25,2.383e+05,2.0871,1,0.099513,0.596,0.026208,1
1.34,396.8,524.55,113.44,1.5519e-19,5.4317e-08,-0.014531,-1.1055e-05,-3.0173e-06,7.8271e-25,0.015126,5.4317e-08,-1.1055e-05,-3.0173e-06,7.8271e-25,2.382e+05,2.0866,1,0.10055,0.597,0.026481,1
1.3404,396.74,524.56,113.82,1.3869e-19,5.4639e-08,-0.01457,-1.1038e-05,-3.0127e-06,7.2781e-25,0.015169,5.4639e-08,-1.1038e-05,-3.0127e-06,7.2781e-25,2.3811e+05,2.0861,1,0.10159,0.598,0.026754,1
1.3408,396.68,524.58,114.2,1.2218e-19,5.496e-08,-0.014609,-1.1021e-05,-3.0081e-06,6.7292e-25,0.015211,5.496e-08,-1.1021e-05,-3.0081e-06,6.7292e-25,2.3802e+05,2.0856,1,0.10262,0.599,0.027027,1
1.3412,396.62,524.59,114.58,1.0568e-19,5.5281e-08,-0.014648,-1.1004e-05,-3.0036e-06,6.1802e-25,0.015254,5.5281e-08,-1.1004e-05,-3.0036e-06,6.1802e-25,2.3793e+05,2.0851,1,0.10366,0.6,0.0273,1
1.3416,396.55,524.61,114.96,8.9174e-20,5.5603e-08,-0.014687,-1.0987e-05,-2.999e-06,5.6312e-25,0.015296,5.5603e-08,-1.0987e-05,-2.999e-06,5.6312e-25,2.3783e+05,2.0847,1,0.1047,0.601,0.027573,1
