"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.25892,1
1.9978,300,694.73,2.6023e-11,0,0.54712,72.392,0.46604,155.34,1.0132e+05,1.174,1,0.0025,0.0025,0.25892,1
1.9978,300,694.73,5.2045e-11,0,0.54711,72.387,0.46603,155.32,1.0132e+05,1.174,1,0.005,0.005,0.25892,1
1.9978,300,694.73,7.8068e-11,0,0.54711,72.381,0.46603,155.31,1.0132e+05,1.174,1,0.0075,0.0075,0.25892,1
1.9978,300,694.73,1.0409e-10,0,0.54711,72.376,0.46603,155.3,1.0132e+05,1.174,1,0.01,0.01,0.25892,1
1.9978,300,694.73,1.3011e-10,0,0.5471,72.371,0.46603,155.29,1.0132e+05,1.174,1,0.0125,0.0125,0.25892,1
1.9978,300,694.73,1.5614e-10,0,0.5471,72.365,0.46602,155.28,1.0132e+05,1.174,1,0.015,0.015,0.25892,1
1.9978,300,694.73,1.8216e-10,0,0.5471,72.36,0.46602,155.27,1.0132e+05,1.174,1,0.0175,0.0175,0.25892,1
1.9978,300,694.73,2.0818e-10,0,0.54709,72.354,0.46602,155.26,1.0132e+05,1.174,1,0.02,0.02,0.25892,1
1.9978,300,694.73,2.342e-10,0,0.54709,72.349,0.46602,155.25,1.0132e+05,1.174,1,0.0225,0.0225,0.25892,1
1.9978,300,694.73,2.6023e-10,0,0.54709,72.344,0.46601,155.24,1.0132e+05,1.174,1,0.025,0.025,0.25892,1
1.9978,300,694.73,2.8625e-10,0,0.54708,72.338,0.46601,155.23,1.0132e+05,1.174,1,0.0275,0.0275,0.25892,1
1.9978,300,694.73,3.1227e-10,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.03,0.03,0.25892,1
1.9978,300,694.73,3.4347e-10,0,0.54708,72.328,0.466,155.21,1.0132e+05,1.174,1,0.0325,0.0325,0.25892,1
1.9978,300,694.73,3.7985e-10,0,0.54708,72.325,0.466,155.2,1.0132e+05,1.174,1,0.035,0.035,0.25892,1
1.9978,300,694.73,4.1623e-10,0,0.54707,72.321,0.466,155.2,1.0132e+05,1.174,1,0.0375,0.0375,0.25892,1
1.9978,300,694.73,4.5261e-10,0,0.54707,72.318,0.466,155.19,1.0132e+05,1.174,1,0.04,0.04,0.25892,1
1.9978,300,694.73,4.8899e-10,0,0.54707,72.314,0.466,155.18,1.0132e+05,1.174,1,0.0425,0.0425,0.25892,1
1.9978,300,694.73,5.2537e-10,0,0.54707,72.31,0.46599,155.17,1.0132e+05,1.174,1,0.045,0.045,0.25892,1
1.9978,300,694.73,5.6175e-10,0,0.54706,72.307,0.46599,155.17,1.0132e+05,1.174,1,0.0475,0.0475,0.25892,1
1.9978,300,694.73,5.9813e-10,0,0.54706,72.303,0.46599,155.16,1.0132e+05,1.174,1,0.05,0.05,0.25892,1
