"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.83449,477.18,370.24,63.423,1.9763e-16,3.2634e+05,2.3771,1,0,0.5,0,1
0.83313,477.27,369.32,64.14,1.8959e-16,3.2733e+05,2.3839,1,0.0010846,0.501,0.00042,1
0.83177,477.35,368.41,64.856,1.8154e-16,3.2833e+05,2.3907,1,0.0021692,0.502,0.00084,1
0.83041,477.43,367.49,65.573,1.735e-16,3.2932e+05,2.3974,1,0.0032539,0.503,0.00126,1
0.82905,477.52,366.58,66.29,1.6546e-16,3.3031e+05,2.4042,1,0.0043385,0.504,0.00168,1
0.82769,477.6,365.66,67.007,1.5741e-16,3.3131e+05,2.411,1,0.0054231,0.505,0.0021,1
0.82633,477.68,364.75,67.725,1.4937e-16,3.323e+05,2.4178,1,0.0065077,0.506,0.00252,1
0.82497,477.77,363.83,68.442,1.4133e-16,3.333e+05,2.4245,1,0.0075924,0.507,0.00294,1
0.82361,477.85,362.91,69.16,1.3329e-16,3.3429e+05,2.4313,1,0.008677,0.508,0.00336,1
0.82224,477.94,362,69.877,1.2525e-16,3.3529e+05,2.4381,1,0.0097616,0.509,0.00378,1
0.82088,478.02,361.08,70.595,1.1721e-16,3.3628e+05,2.4449,1,0.010846,0.51,0.0042,1
0.81952,478.1,360.16,71.313,1.0918e-16,3.3728e+05,2.4517,1,0.011931,0.511,0.00462,1
0.81815,478.19,359.25,72.031,1.0114e-16,3.3827e+05,2.4585,1,0.013015,0.512,0.00504,1
0.81678,478.27,358.33,72.75,9.3103e-17,3.3927e+05,2.4653,1,0.0141,0.513,0.00546,1
0.81542,478.36,357.41,73.468,8.5068e-17,3.4027e+05,2.4721,1,0.015185,0.514,0.00588,1
0.81405,478.44,356.49,74.187,7.7034e-17,3.4126e+05,2.4788,1,0.016269,0.515,0.0063,1
0.81268,478.53,355.57,74.906,6.9001e-17,3.4226e+05,2.4856,1,0.017354,0.516,0.00672,1
0.81131,478.61,354.65,75.625,6.0967e-17,3.4326e+05,2.4924,1,0.018439,0.517,0.00714,1
0.80994,478.7,353.73,76.344,5.2936e-17,3.4425e+05,2.4992,1,0.019523,0.518,0.00756,1
0.80857,478.78,352.79,77.117,4.5645e-17,3.4527e+05,2.5062,1,0.020608,0.519,0.00798,1
0.80716,478.83,351.67,78.246,4.3221e-17,3.4644e+05,2.5144,1,0.021692,0.52,0.0084,1
0.80575,478.88,350.55,79.374,4.0798e-17,3.4761e+05,2.5226,1,0.022777,0.521,0.00882,1
0.80435,478.94,349.43,80.502,3.8375e-17,3.4877e+05,2.5308,1,0.023862,0.522,0.00924,1
0.80294,478.99,348.31,81.631,3.5952e-17,3.4994e+05,2.539,1,0.024946,0.523,0.00966,1
0.80154,479.04,347.19,82.759,3.353e-17,3.5111e+05,2.5472,1,0.026031,0.524,0.01008,1
0.80013,479.1,346.07,83.887,3.1107e-17,3.5227e+05,2.5554,1,0.027115,0.525,0.0105,1
0.79873,479.15,344.94,85.016,2.8685e-17,3.5344e+05,2.5636,1,0.0282,0.526,0.01092,1
0.79732,479.2,343.82,86.144,2.6264e-17,3.5461e+05,2.5718,1,0.029285,0.527,0.01134,1
0.79591,479.26,342.7,87.273,2.3842e-17,3.5577e+05,2.58,1,0.030369,0.528,0.01176,1
0.79451,479.31,341.58,88.402,2.1421e-17,3.5694e+05,2.5882,1,0.031454,0.529,0.01218,1
0.7931,479.36,340.46,89.53,1.9e-17,3.5811e+05,2.5964,1,0.032539,0.53,0.0126,1
0.79169,479.42,339.34,90.659,1.658e-17,3.5927e+05,2.6046,1,0.033623,0.531,0.01302,1
0.79029,479.47,338.22,91.787,1.4159e-17,3.6044e+05,2.6128,1,0.034708,0.532,0.01344,1
0.78888,479.52,337.1,92.916,1.1739e-17,3.6161e+05,2.621,1,0.035792,0.533,0.01386,1
0.78747,479.58,335.98,94.045,9.3198e-18,3.6277e+05,2.6292,1,0.036877,0.534,0.01428,1
0.78607,479.63,334.86,95.174,6.9003e-18,3.6394e+05,2.6374,1,0.037962,0.535,0.0147,1
0.78466,479.68,333.74,96.302,4.4812e-18,3.6511e+05,2.6456,1,0.039046,0.536,0.01512,1
0.78325,479.74,332.62,97.431,2.0623e-18,3.6627e+05,2.6538,1,0.040131,0.537,0.01554,1
0.78231,479.76,331.76,98.428,1.0211e-18,3.6714e+05,2.66,1,0.041216,0.538,0.01596,1
0.78266,479.69,331.63,99.057,3.8162e-18,3.6717e+05,2.6606,1,0.0423,0.539,0.01638,1
0.78301,479.61,331.51,99.686,6.6113e-18,3.672e+05,2.6612,1,0.043385,0.54,0.0168,1
0.78337,479.54,331.39,100.32,9.4061e-18,3.6723e+05,2.6619,1,0.044469,0.541,0.01722,1
0.78372,479.47,331.26,100.94,1.2201e-17,3.6727e+05,2.6625,1,0.045554,0.542,0.01764,1
0.78407,479.4,331.14,101.57,1.4995e-17,3.673e+05,2.6631,1,0.046639,0.543,0.01806,1
0.78442,479.33,331.01,102.2,1.779e-17,3.6733e+05,2.6637,1,0.047723,0.544,0.01848,1
0.78478,479.25,330.89,102.83,2.0584e-17,3.6736e+05,2.6643,1,0.048808,0.545,0.0189,1
0.78513,479.18,330.77,103.46,2.3378e-17,3.6739e+05,2.665,1,0.049893,0.546,0.01932,1
0.78548,479.11,330.64,104.09,2.6171e-17,3.6742e+05,2.6656,1,0.050977,0.547,0.01974,1
0.78583,479.04,330.52,104.72,2.8965e-17,3.6745e+05,2.6662,1,0.052062,0.548,0.02016,1
0.78618,478.97,330.39,105.35,3.1759e-17,3.6748e+05,2.6669,1,0.053146,0.549,0.02058,1
0.78654,478.89,330.27,105.98,3.4552e-17,3.6752e+05,2.6675,1,0.054231,0.55,0.021,1
0.78689,478.82,330.15,106.61,3.7345e-17,3.6755e+05,2.6681,1,0.055316,0.551,0.02142,1
0.78724,478.75,330.02,107.24,4.0138e-17,3.6758e+05,2.6687,1,0.0564,0.552,0.02184,1
0.78759,478.68,329.9,107.87,4.293e-17,3.6761e+05,2.6694,1,0.057485,0.553,0.02226,1
0.78794,478.61,329.77,108.5,4.5723e-17,3.6764e+05,2.67,1,0.058569,0.554,0.02268,1
0.78829,478.54,329.65,109.12,4.8516e-17,3.6767e+05,2.6706,1,0.059654,0.555,0.0231,1
0.78864,478.46,329.52,109.75,5.1308e-17,3.6771e+05,2.6712,1,0.060739,0.556,0.02352,1
0.78916,478.39,329.52,110.27,5.2978e-17,3.676e+05,2.6709,1,0.061823,0.557,0.02394,1
0.78992,478.31,329.71,110.61,5.2937e-17,3.673e+05,2.6691,1,0.062908,0.558,0.02436,1
0.79068,478.24,329.9,110.95,5.2896e-17,3.6699e+05,2.6673,1,0.063993,0.559,0.02478,1
0.79144,478.16,330.09,111.28,5.2855e-17,3.6668e+05,2.6655,1,0.065077,0.56,0.0252,1
0.7922,478.09,330.29,111.62,5.2814e-17,3.6638e+05,2.6636,1,0.066162,0.561,0.02562,1
0.79296,478.01,330.48,111.96,5.2773e-17,3.6607e+05,2.6618,1,0.067246,0.562,0.02604,1
0.79372,477.94,330.67,112.3,5.2732e-17,3.6576e+05,2.66,1,0.068331,0.563,0.02646,1
0.79448,477.86,330.86,112.64,5.269e-17,3.6546e+05,2.6582,1,0.069416,0.564,0.02688,1
0.79525,477.79,331.05,112.98,5.2648e-17,3.6515e+05,2.6564,1,0.0705,0.565,0.0273,1
0.79601,477.71,331.24,113.31,5.2606e-17,3.6484e+05,2.6546,1,0.071585,0.566,0.02772,1
0.79677,477.64,331.43,113.65,5.2564e-17,3.6454e+05,2.6528,1,0.072669,0.567,0.02814,1
0.79753,477.56,331.62,113.99,5.2522e-17,3.6423e+05,2.651,1,0.073754,0.568,0.02856,1
0.79829,477.49,331.81,114.33,5.248e-17,3.6393e+05,2.6491,1,0.074839,0.569,0.02898,1
0.79905,477.41,332,114.67,5.2437e-17,3.6362e+05,2.6473,1,0.075923,0.57,0.0294,1
0.79981,477.34,332.19,115.01,5.2394e-17,3.6331e+05,2.6455,1,0.077008,0.571,0.02982,1
0.80057,477.26,332.38,115.35,5.2351e-17,3.6301e+05,2.6437,1,0.078093,0.572,0.03024,1
0.80133,477.19,332.57,115.68,5.2308e-17,3.627e+05,2.6419,1,0.079177,0.573,0.03066,1
0.80209,477.11,332.76,116.02,5.2265e-17,3.6239e+05,2.6401,1,0.080262,0.574,0.03108,1
0.80285,477.04,332.95,116.36,5.2222e-17,3.6209e+05,2.6383,1,0.081346,0.575,0.0315,1
0.80353,476.97,333.14,116.62,5.22e-17,3.618e+05,2.6365,1,0.082431,0.576,0.03192,1
0.80414,476.92,333.32,116.82,5.2197e-17,3.6152e+05,2.6348,1,0.083516,0.577,0.03234,1
0.80475,476.86,333.51,117.01,5.2193e-17,3.6124e+05,2.633,1,0.0846,0.578,0.03276,1
0.80536,476.81,333.69,117.21,5.219e-17,3.6096e+05,2.6313,1,0.085685,0.579,0.03318,1
0.80597,476.75,333.88,117.4,5.2187e-17,3.6068e+05,2.6296,1,0.08677,0.58,0.0336,1
0.80658,476.69,334.07,117.59,5.2184e-17,3.604e+05,2.6278,1,0.087854,0.581,0.03402,1
0.80719,476.64,334.25,117.79,5.2181e-17,3.6012e+05,2.6261,1,0.088939,0.582,0.03444,1
0.8078,476.58,334.44,117.98,5.2178e-17,3.5984e+05,2.6244,1,0.090023,0.583,0.03486,1
0.80841,476.53,334.62,118.18,5.2174e-17,3.5956e+05,2.6226,1,0.091108,0.584,0.03528,1
0.80902,476.47,334.81,118.37,5.2171e-17,3.5928e+05,2.6209,1,0.092193,0.585,0.0357,1
0.80962,476.42,334.99,118.57,5.2168e-17,3.59e+05,2.6191,1,0.093277,0.586,0.03612,1
0.81023,476.36,335.18,118.76,5.2165e-17,3.5872e+05,2.6174,1,0.094362,0.587,0.03654,1
0.81084,476.31,335.37,118.96,5.2162e-17,3.5844e+05,2.6157,1,0.095447,0.588,0.03696,1
0.81145,476.25,335.55,119.15,5.2159e-17,3.5816e+05,2.6139,1,0.096531,0.589,0.03738,1
0.81206,476.2,335.74,119.34,5.2155e-17,3.5788e+05,2.6122,1,0.097616,0.59,0.0378,1
0.81267,476.14,335.92,119.54,5.2152e-17,3.576e+05,2.6105,1,0.0987,0.591,0.03822,1
0.81328,476.08,336.11,119.73,5.2149e-17,3.5732e+05,2.6087,1,0.099785,0.592,0.03864,1
0.81389,476.03,336.29,119.93,5.2146e-17,3.5704e+05,2.607,1,0.10087,0.593,0.03906,1
0.8145,475.97,336.48,120.12,5.2143e-17,3.5676e+05,2.6053,1,0.10195,0.594,0.03948,1
0.81495,475.93,336.62,120.27,5.2155e-17,3.5655e+05,2.6039,1,0.10304,0.595,0.0399,1
0.81532,475.9,336.73,120.4,5.2176e-17,3.5637e+05,2.6028,1,0.10412,0.596,0.04032,1
0.8157,475.87,336.84,120.53,5.2197e-17,3.562e+05,2.6017,1,0.10521,0.597,0.04074,1
