"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,1.0132e+05,1.174,1,0,0,0.646,1
1.9978,300,694.73,4.1553e-08,0,1.0132e+05,1.174,1,0.0025,0.0025,0.646,1
1.9978,300,694.73,8.3106e-08,0,1.0132e+05,1.174,1,0.005,0.005,0.646,1
1.9978,300,694.73,1.2466e-07,0,1.0132e+05,1.174,1,0.0075,0.0075,0.646,1
1.9978,300,694.73,1.6621e-07,0,1.0132e+05,1.174,1,0.01,0.01,0.646,1
1.9978,300,694.73,2.0776e-07,0,1.0132e+05,1.174,1,0.0125,0.0125,0.646,1
1.9978,300,694.73,2.4932e-07,0,1.0132e+05,1.174,1,0.015,0.015,0.646,1
1.9978,300,694.73,2.9087e-07,0,1.0132e+05,1.174,1,0.0175,0.0175,0.646,1
1.9978,300,694.73,3.3242e-07,0,1.0132e+05,1.174,1,0.02,0.02,0.646,1
1.9978,300,694.73,3.7398e-07,0,1.0132e+05,1.174,1,0.0225,0.0225,0.646,1
1.9978,300,694.73,4.1553e-07,0,1.0132e+05,1.174,1,0.025,0.025,0.646,1
1.9978,300,694.73,4.5708e-07,0,1.0132e+05,1.174,1,0.0275,0.0275,0.646,1
1.9978,300,694.73,4.9863e-07,0,1.0132e+05,1.174,1,0.03,0.03,0.646,1
1.9978,300,694.73,5.4742e-07,0,1.0132e+05,1.174,1,0.0325,0.0325,0.646,1
1.9978,300,694.73,6.0345e-07,0,1.0132e+05,1.174,1,0.035,0.035,0.646,1
1.9978,300,694.73,6.5948e-07,0,1.0132e+05,1.174,1,0.0375,0.0375,0.646,1
1.9978,300,694.73,7.1551e-07,0,1.0132e+05,1.174,1,0.04,0.04,0.646,1
1.9978,300,694.73,7.7154e-07,0,1.0132e+05,1.174,1,0.0425,0.0425,0.646,1
1.9978,300,694.73,8.2757e-07,0,1.0132e+05,1.174,1,0.045,0.045,0.646,1
1.9978,300,694.73,8.836e-07,0,1.0132e+05,1.174,1,0.0475,0.0475,0.646,1
1.9978,300,694.73,9.3963e-07,0,1.0132e+05,1.174,1,0.05,0.05,0.646,1
1.9978,300,694.73,9.9566e-07,0,1.0132e+05,1.174,1,0.0525,0.0525,0.646,1
1.9978,300,694.73,1.0517e-06,0,1.0132e+05,1.174,1,0.055,0.055,0.646,1
1.9978,300,694.73,1.1077e-06,0,1.0132e+05,1.174,1,0.0575,0.0575,0.646,1
1.9978,300,694.73,1.1637e-06,0,1.0132e+05,1.174,1,0.06,0.06,0.646,1
1.9978,300,694.73,1.2198e-06,0,1.0132e+05,1.174,1,0.0625,0.0625,0.646,1
1.9978,300,694.73,1.3136e-06,0,1.0132e+05,1.174,1,0.065,0.065,0.646,1
1.9978,300,694.73,1.4074e-06,0,1.0132e+05,1.174,1,0.0675,0.0675,0.646,1
1.9978,300,694.73,1.5013e-06,0,1.0132e+05,1.174,1,0.07,0.07,0.646,1
1.9978,300,694.73,1.5951e-06,0,1.0132e+05,1.174,1,0.0725,0.0725,0.646,1
1.9978,300,694.73,1.6889e-06,0,1.0132e+05,1.174,1,0.075,0.075,0.646,1
1.9978,300,694.73,1.7828e-06,0,1.0132e+05,1.174,1,0.0775,0.0775,0.646,1
1.9978,300,694.73,1.8766e-06,0,1.0132e+05,1.174,1,0.08,0.08,0.646,1
1.9978,300,694.73,1.9705e-06,0,1.0132e+05,1.174,1,0.0825,0.0825,0.646,1
1.9978,300,694.73,2.0643e-06,0,1.0132e+05,1.174,1,0.085,0.085,0.646,1
1.9978,300,694.73,2.1581e-06,0,1.0132e+05,1.174,1,0.0875,0.0875,0.646,1
1.9978,300,694.73,2.252e-06,0,1.0132e+05,1.174,1,0.09,0.09,0.646,1
1.9978,300,694.73,2.3458e-06,0,1.0132e+05,1.174,1,0.0925,0.0925,0.646,1
1.9978,300,694.73,2.4695e-06,0,1.0132e+05,1.174,1,0.095,0.095,0.646,1
1.9978,300,694.73,2.623e-06,0,1.0132e+05,1.174,1,0.0975,0.0975,0.646,1
1.9978,300,694.73,2.7765e-06,0,1.0132e+05,1.174,1,0.1,0.1,0.646,1
1.9978,300,694.73,2.93e-06,0,1.0132e+05,1.174,1,0.1025,0.1025,0.646,1
1.9978,300,694.73,3.0835e-06,0,1.0132e+05,1.174,1,0.105,0.105,0.646,1
1.9978,300,694.73,3.237e-06,0,1.0132e+05,1.174,1,0.1075,0.1075,0.646,1
1.9978,300,694.73,3.3906e-06,0,1.0132e+05,1.174,1,0.11,0.11,0.646,1
1.9978,300,694.73,3.5441e-06,0,1.0132e+05,1.174,1,0.1125,0.1125,0.646,1
1.9978,300,694.73,3.6976e-06,0,1.0132e+05,1.174,1,0.115,0.115,0.646,1
1.9978,300,694.73,3.8511e-06,0,1.0132e+05,1.174,1,0.1175,0.1175,0.646,1
1.9978,300,694.73,4.0046e-06,0,1.0132e+05,1.174,1,0.12,0.12,0.646,1
1.9978,300,694.73,4.1581e-06,0,1.0132e+05,1.174,1,0.1225,0.1225,0.646,1
1.9978,300,694.73,4.3117e-06,0,1.0132e+05,1.174,1,0.125,0.125,0.646,1
1.9978,300,694.73,4.5595e-06,0,1.0132e+05,1.174,1,0.1275,0.1275,0.646,1
1.9978,300,694.73,4.8073e-06,0,1.0132e+05,1.174,1,0.13,0.13,0.646,1
1.9978,300,694.73,5.0552e-06,0,1.0132e+05,1.174,1,0.1325,0.1325,0.646,1
1.9978,300,694.73,5.303e-06,0,1.0132e+05,1.174,1,0.135,0.135,0.646,1
1.9978,300,694.73,5.5508e-06,0,1.0132e+05,1.174,1,0.1375,0.1375,0.646,1
1.9978,300,694.73,5.7987e-06,0,1.0132e+05,1.174,1,0.14,0.14,0.646,1
1.9978,300,694.73,6.0465e-06,0,1.0132e+05,1.174,1,0.1425,0.1425,0.646,1
1.9978,300,694.73,6.2943e-06,0,1.0132e+05,1.174,1,0.145,0.145,0.646,1
1.9978,300,694.73,6.5422e-06,0,1.0132e+05,1.174,1,0.1475,0.1475,0.646,1
1.9978,300,694.73,6.79e-06,0,1.0132e+05,1.174,1,0.15,0.15,0.646,1
