"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6799,332.89,650.84,11.097,3.1258e-18,1.3578e+05,1,0,0.5,0,1
1.6746,334.06,649.44,12.246,2.7083e-18,1.3836e+05,1,0.0010645,0.501,0.000365,1
1.6692,335.23,648.04,13.395,2.2909e-18,1.4093e+05,1,0.002129,0.502,0.00073,1
1.6638,336.39,646.63,14.545,1.8735e-18,1.4351e+05,1,0.0031936,0.503,0.001095,1
1.6576,337.82,645.03,15.993,1.4562e-18,1.4668e+05,1,0.0042581,0.504,0.00146,1
1.6491,339.99,642.87,18.317,1.039e-18,1.516e+05,1,0.0053226,0.505,0.001825,1
1.6405,342.16,640.7,20.641,6.218e-19,1.5652e+05,1,0.0063872,0.506,0.00219,1
1.6319,344.32,638.53,22.966,2.0463e-19,1.6144e+05,1,0.0074517,0.507,0.002555,1
1.6247,346.34,636.73,25.326,-4.5161e-19,1.6614e+05,1,0.0085163,0.508,0.00292,1
1.6189,348.21,635.27,27.722,-1.338e-18,1.7064e+05,1,0.0095808,0.509,0.003285,1
1.6131,350.08,633.81,30.118,-2.2242e-18,1.7513e+05,1,0.010645,0.51,0.00365,1
1.6073,351.95,632.36,32.514,-3.1102e-18,1.7963e+05,1,0.01171,0.511,0.004015,1
1.6023,353.64,630.98,34.989,-3.319e-18,1.8383e+05,1,0.012774,0.512,0.00438,1
1.5975,355.28,629.62,37.489,-3.3186e-18,1.8795e+05,1,0.013839,0.513,0.004745,1
1.5928,356.92,628.27,39.99,-3.3182e-18,1.9206e+05,1,0.014903,0.514,0.00511,1
1.588,358.55,626.92,42.492,-3.3012e-18,1.9616e+05,1,0.015968,0.515,0.005475,1
1.584,360.01,625.65,45.099,-2.4151e-18,1.9988e+05,1,0.017032,0.516,0.00584,1
1.5801,361.47,624.38,47.707,-1.5291e-18,2.036e+05,1,0.018097,0.517,0.006205,1
1.5761,362.92,623.12,50.315,-6.4341e-19,2.0732e+05,1,0.019162,0.518,0.00657,1
1.5723,364.34,621.88,52.945,0,2.1093e+05,1,0.020226,0.519,0.006935,1
1.5691,365.66,620.73,55.635,0,2.1425e+05,1,0.021291,0.52,0.0073,1
1.5658,366.98,619.58,58.324,0,2.1757e+05,1,0.022355,0.521,0.007665,1
1.5626,368.3,618.44,61.013,0,2.2088e+05,1,0.02342,0.522,0.00803,1
1.5597,369.55,617.35,63.73,2.5895e-19,2.2399e+05,1,0.024484,0.523,0.008395,1
1.5571,370.75,616.31,66.47,7.4925e-19,2.2692e+05,1,0.025549,0.524,0.00876,1
1.5545,371.96,615.27,69.211,1.2395e-18,2.2984e+05,1,0.026613,0.525,0.009125,1
1.5519,373.16,614.23,71.951,1.7297e-18,2.3276e+05,1,0.027678,0.526,0.00949,1
1.5496,374.28,613.27,74.711,2.2181e-18,2.3538e+05,1,0.028742,0.527,0.009855,1
1.5475,375.37,612.32,77.475,2.7059e-18,2.3792e+05,1,0.029807,0.528,0.01022,1
1.5454,376.47,611.38,80.24,3.1937e-18,2.4046e+05,1,0.030871,0.529,0.010585,1
1.5433,377.56,610.44,83.004,3.6448e-18,2.4298e+05,1,0.031936,0.53,0.01095,1
1.5416,378.56,609.58,85.77,3.1545e-18,2.4514e+05,1,0.033,0.531,0.011315,1
1.5399,379.57,608.72,88.535,2.6642e-18,2.473e+05,1,0.034065,0.532,0.01168,1
1.5383,380.57,607.86,91.3,2.174e-18,2.4946e+05,1,0.035129,0.533,0.012045,1
1.5367,381.55,607.01,94.061,1.6845e-18,2.5151e+05,1,0.036194,0.534,0.01241,1
1.5353,382.46,606.22,96.809,1.1966e-18,2.5331e+05,1,0.037259,0.535,0.012775,1
