"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,1.0132e+05,1.174,1,0,0,0.282,1
1.9978,300,694.73,2.7032e-05,0,1.0133e+05,1.174,1,0.0025,0.0025,0.282,1
1.9978,300,694.73,5.4065e-05,0,1.0133e+05,1.174,1,0.005,0.005,0.282,1
1.9978,300,694.73,8.1097e-05,0,1.0133e+05,1.174,1,0.0075,0.0075,0.282,1
1.9978,300,694.73,0.00010813,0,1.0133e+05,1.174,1,0.01,0.01,0.282,1
1.9978,300,694.73,0.00013516,0,1.0133e+05,1.174,1,0.0125,0.0125,0.282,1
1.9978,300,694.73,0.00016219,0,1.0133e+05,1.174,1,0.015,0.015,0.282,1
1.9978,300,694.73,0.00018923,0,1.0133e+05,1.174,1,0.0175,0.0175,0.282,1
1.9978,300,694.73,0.00021626,0,1.0133e+05,1.174,1,0.02,0.02,0.282,1
1.9978,300,694.73,0.00024329,0,1.0133e+05,1.174,1,0.0225,0.0225,0.282,1
1.9978,300,694.73,0.00027032,0,1.0133e+05,1.174,1,0.025,0.025,0.282,1
1.9978,300,694.73,0.00029735,0,1.0133e+05,1.174,1,0.0275,0.0275,0.282,1
1.9978,300,694.73,0.00032691,0,1.0133e+05,1.174,1,0.03,0.03,0.282,1
1.9978,300,694.73,0.00036465,0,1.0133e+05,1.174,1,0.0325,0.0325,0.282,1
1.9978,300,694.73,0.00040239,0,1.0133e+05,1.174,1,0.035,0.035,0.282,1
1.9978,300,694.73,0.00044013,0,1.0133e+05,1.174,1,0.0375,0.0375,0.282,1
1.9978,300,694.73,0.00047787,0,1.0133e+05,1.174,1,0.04,0.04,0.282,1
1.9978,300,694.73,0.00051562,0,1.0133e+05,1.174,1,0.0425,0.0425,0.282,1
1.9978,300,694.73,0.00055336,0,1.0133e+05,1.174,1,0.045,0.045,0.282,1
1.9978,300,694.73,0.0005911,0,1.0133e+05,1.174,1,0.0475,0.0475,0.282,1
1.9978,300,694.73,0.00062884,0,1.0133e+05,1.174,1,0.05,0.05,0.282,1
1.9978,300,694.73,0.00066658,0,1.0133e+05,1.174,1,0.0525,0.0525,0.282,1
1.9978,300,694.73,0.00070432,0,1.0133e+05,1.174,1,0.055,0.055,0.282,1
1.9978,300,694.73,0.00074207,0,1.0133e+05,1.174,1,0.0575,0.0575,0.282,1
1.9978,300,694.73,0.00079281,0,1.0133e+05,1.174,1,0.06,0.06,0.282,1
1.9978,300,694.73,0.0008582,0,1.0133e+05,1.174,1,0.0625,0.0625,0.282,1
1.9978,300,694.73,0.00092358,0,1.0133e+05,1.174,1,0.065,0.065,0.282,1
1.9978,300,694.73,0.00098896,0,1.0133e+05,1.174,1,0.0675,0.0675,0.282,1
1.9978,300,694.73,0.0010543,0,1.0133e+05,1.174,1,0.07,0.07,0.282,1
1.9978,300,694.73,0.0011197,0,1.0133e+05,1.174,1,0.0725,0.0725,0.282,1
1.9978,300,694.73,0.0011851,0,1.0133e+05,1.174,1,0.075,0.075,0.282,1
1.9978,300,694.73,0.0012505,0,1.0133e+05,1.174,1,0.0775,0.0775,0.282,1
1.9978,300,694.73,0.0013159,0,1.0133e+05,1.174,1,0.08,0.08,0.282,1
1.9978,300,694.73,0.0013812,0,1.0133e+05,1.174,1,0.0825,0.0825,0.282,1
1.9978,300,694.73,0.0014466,0,1.0133e+05,1.174,1,0.085,0.085,0.282,1
1.9978,300,694.73,0.001512,0,1.0133e+05,1.174,1,0.0875,0.0875,0.282,1
1.9978,300,694.73,0.0016088,0,1.0133e+05,1.174,1,0.09,0.09,0.282,1
1.9978,300,694.73,0.0017187,0,1.0133e+05,1.174,1,0.0925,0.0925,0.282,1
