"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2647,404.25,528.17,41.111,2.6647e-17,2.1973e+05,1,0.066001,0.562,0.02263,1
1.2644,404.31,528.05,41.181,2.6528e-17,2.1985e+05,1,0.067065,0.563,0.022995,1
1.2641,404.36,527.92,41.252,2.6409e-17,2.1998e+05,1,0.06813,0.564,0.02336,1
1.2637,404.41,527.8,41.323,2.629e-17,2.201e+05,1,0.069194,0.565,0.023725,1
1.2634,404.47,527.68,41.393,2.617e-17,2.2022e+05,1,0.070259,0.566,0.02409,1
1.2631,404.52,527.56,41.464,2.6051e-17,2.2034e+05,1,0.071324,0.567,0.024455,1
1.2628,404.57,527.44,41.534,2.5932e-17,2.2047e+05,1,0.072388,0.568,0.02482,1
1.2625,404.63,527.32,41.605,2.5813e-17,2.2059e+05,1,0.073453,0.569,0.025185,1
1.2622,404.68,527.2,41.675,2.5694e-17,2.2071e+05,1,0.074517,0.57,0.02555,1
1.2619,404.74,527.08,41.746,2.5575e-17,2.2083e+05,1,0.075582,0.571,0.025915,1
1.2616,404.79,526.96,41.816,2.5455e-17,2.2096e+05,1,0.076646,0.572,0.02628,1
1.2613,404.84,526.84,41.887,2.5336e-17,2.2108e+05,1,0.077711,0.573,0.026645,1
1.261,404.9,526.72,41.958,2.5217e-17,2.212e+05,1,0.078775,0.574,0.02701,1
1.2607,404.95,526.6,42.028,2.5098e-17,2.2132e+05,1,0.07984,0.575,0.027375,1
1.2604,405,526.48,42.099,2.4979e-17,2.2145e+05,1,0.080904,0.576,0.02774,1
1.2601,405.06,526.36,42.169,2.486e-17,2.2157e+05,1,0.081969,0.577,0.028105,1
1.2598,405.11,526.23,42.24,2.474e-17,2.2169e+05,1,0.083033,0.578,0.02847,1
1.2595,405.16,526.11,42.31,2.4621e-17,2.2181e+05,1,0.084098,0.579,0.028835,1
1.2592,405.22,525.99,42.381,2.4502e-17,2.2194e+05,1,0.085162,0.58,0.0292,1
1.2589,405.27,525.87,42.452,2.4383e-17,2.2206e+05,1,0.086227,0.581,0.029565,1
1.2586,405.33,525.75,42.522,2.4264e-17,2.2218e+05,1,0.087292,0.582,0.02993,1
1.2583,405.38,525.63,42.593,2.4145e-17,2.223e+05,1,0.088356,0.583,0.030295,1
1.258,405.43,525.51,42.663,2.4026e-17,2.2243e+05,1,0.089421,0.584,0.03066,1
1.2577,405.49,525.39,42.734,2.3906e-17,2.2255e+05,1,0.090485,0.585,0.031025,1
1.2574,405.54,525.27,42.804,2.3787e-17,2.2267e+05,1,0.09155,0.586,0.03139,1
1.2571,405.59,525.15,42.875,2.3668e-17,2.2279e+05,1,0.092614,0.587,0.031755,1
1.2568,405.65,525.03,42.946,2.3549e-17,2.2292e+05,1,0.093679,0.588,0.03212,1
1.2565,405.7,524.91,43.016,2.343e-17,2.2304e+05,1,0.094743,0.589,0.032485,1
1.2562,405.75,524.79,43.087,2.3311e-17,2.2316e+05,1,0.095808,0.59,0.03285,1
1.2559,405.81,524.67,43.157,2.3191e-17,2.2328e+05,1,0.096872,0.591,0.033215,1
1.2556,405.86,524.55,43.228,2.3072e-17,2.2341e+05,1,0.097937,0.592,0.03358,1
1.2553,405.91,524.42,43.298,2.2953e-17,2.2353e+05,1,0.099001,0.593,0.033945,1
1.255,405.97,524.3,43.369,2.2834e-17,2.2365e+05,1,0.10007,0.594,0.03431,1
1.2547,406.02,524.18,43.44,2.2715e-17,2.2377e+05,1,0.10113,0.595,0.034675,1
1.2544,406.08,524.06,43.51,2.2596e-17,2.239e+05,1,0.10219,0.596,0.03504,1
1.2541,406.13,523.94,43.581,2.2477e-17,2.2402e+05,1,0.10326,0.597,0.035405,1
1.2538,406.18,523.82,43.651,2.2357e-17,2.2414e+05,1,0.10432,0.598,0.03577,1
1.2535,406.24,523.7,43.722,2.2238e-17,2.2426e+05,1,0.10539,0.599,0.036135,1
1.2532,406.29,523.58,43.792,2.2119e-17,2.2439e+05,1,0.10645,0.6,0.0365,1
1.2529,406.34,523.46,43.863,2.2e-17,2.2451e+05,1,0.10752,0.601,0.036865,1
1.2526,406.4,523.34,43.934,2.1881e-17,2.2463e+05,1,0.10858,0.602,0.03723,1
1.2523,406.45,523.22,44.004,2.1762e-17,2.2476e+05,1,0.10965,0.603,0.037595,1
1.252,406.5,523.1,44.075,2.1643e-17,2.2488e+05,1,0.11071,0.604,0.03796,1
1.2517,406.56,522.98,44.145,2.1523e-17,2.25e+05,1,0.11178,0.605,0.038325,1
1.2514,406.61,522.86,44.216,2.1404e-17,2.2512e+05,1,0.11284,0.606,0.03869,1
1.2511,406.67,522.73,44.286,2.1285e-17,2.2525e+05,1,0.1139,0.607,0.039055,1
1.2508,406.72,522.61,44.357,2.1166e-17,2.2537e+05,1,0.11497,0.608,0.03942,1
1.2505,406.77,522.49,44.428,2.1047e-17,2.2549e+05,1,0.11603,0.609,0.039785,1
1.2502,406.83,522.37,44.498,2.0928e-17,2.2561e+05,1,0.1171,0.61,0.04015,1
1.2499,406.88,522.25,44.569,2.0809e-17,2.2574e+05,1,0.11816,0.611,0.040515,1
1.2496,406.93,522.13,44.639,2.069e-17,2.2586e+05,1,0.11923,0.612,0.04088,1
1.2493,406.99,522.01,44.71,2.057e-17,2.2598e+05,1,0.12029,0.613,0.041245,1
1.249,407.04,521.89,44.78,2.0451e-17,2.261e+05,1,0.12136,0.614,0.04161,1
1.2487,407.09,521.77,44.851,2.0332e-17,2.2623e+05,1,0.12242,0.615,0.041975,1
1.2484,407.15,521.65,44.922,2.0213e-17,2.2635e+05,1,0.12349,0.616,0.04234,1
1.2481,407.2,521.53,44.992,2.0094e-17,2.2647e+05,1,0.12455,0.617,0.042705,1
1.2478,407.26,521.41,45.063,1.9975e-17,2.2659e+05,1,0.12561,0.618,0.04307,1
1.2475,407.31,521.29,45.133,1.9856e-17,2.2672e+05,1,0.12668,0.619,0.043435,1
1.2472,407.36,521.17,45.204,1.9737e-17,2.2684e+05,1,0.12774,0.62,0.0438,1
1.2469,407.42,521.04,45.274,1.9617e-17,2.2696e+05,1,0.12881,0.621,0.044165,1
1.2466,407.47,520.92,45.345,1.9498e-17,2.2708e+05,1,0.12987,0.622,0.04453,1
1.2463,407.52,520.8,45.416,1.9379e-17,2.2721e+05,1,0.13094,0.623,0.044895,1
1.246,407.58,520.68,45.486,1.926e-17,2.2733e+05,1,0.132,0.624,0.04526,1
1.2457,407.63,520.56,45.557,1.9141e-17,2.2745e+05,1,0.13307,0.625,0.045625,1
1.2454,407.68,520.44,45.627,1.9022e-17,2.2757e+05,1,0.13413,0.626,0.04599,1
1.2451,407.74,520.32,45.698,1.8903e-17,2.277e+05,1,0.1352,0.627,0.046355,1
1.2448,407.79,520.2,45.769,1.8784e-17,2.2782e+05,1,0.13626,0.628,0.04672,1
1.2445,407.84,520.08,45.839,1.8664e-17,2.2794e+05,1,0.13732,0.629,0.047085,1
1.2442,407.9,519.96,45.91,1.8545e-17,2.2806e+05,1,0.13839,0.63,0.04745,1
1.2439,407.95,519.84,45.98,1.8426e-17,2.2819e+05,1,0.13945,0.631,0.047815,1
1.2436,408.01,519.72,46.051,1.8307e-17,2.2831e+05,1,0.14052,0.632,0.04818,1
1.2433,408.06,519.6,46.122,1.8188e-17,2.2843e+05,1,0.14158,0.633,0.048545,1
1.243,408.11,519.48,46.192,1.8069e-17,2.2856e+05,1,0.14265,0.634,0.04891,1
1.2427,408.17,519.35,46.263,1.795e-17,2.2868e+05,1,0.14371,0.635,0.049275,1
1.2424,408.22,519.23,46.333,1.7831e-17,2.288e+05,1,0.14478,0.636,0.04964,1
1.2421,408.27,519.11,46.404,1.7711e-17,2.2892e+05,1,0.14584,0.637,0.050005,1
1.2418,408.33,518.99,46.474,1.7592e-17,2.2905e+05,1,0.14691,0.638,0.05037,1
1.2415,408.38,518.87,46.545,1.7473e-17,2.2917e+05,1,0.14797,0.639,0.050735,1
1.2412,408.43,518.75,46.616,1.7354e-17,2.2929e+05,1,0.14903,0.64,0.0511,1
1.2409,408.49,518.63,46.686,1.7235e-17,2.2941e+05,1,0.1501,0.641,0.051465,1
1.2406,408.54,518.51,46.757,1.7116e-17,2.2954e+05,1,0.15116,0.642,0.05183,1
1.2402,408.6,518.38,46.838,1.6997e-17,2.2967e+05,1,0.15223,0.643,0.052195,1
1.2398,408.68,518.17,46.982,1.6878e-17,2.2988e+05,1,0.15329,0.644,0.05256,1
1.2393,408.77,517.97,47.126,1.6759e-17,2.3009e+05,1,0.15436,0.645,0.052925,1
1.2388,408.85,517.77,47.27,1.6639e-17,2.3031e+05,1,0.15542,0.646,0.05329,1
