"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1544,427.23,489.54,55.7,-5.3137e-17,2.4169e+05,1.9663,1,0,0.5,0,1
1.1525,427.52,488.58,56.519,-5.3206e-17,2.4274e+05,1.9733,1,0.0010642,0.501,0.000364,1
1.1507,427.82,487.61,57.337,-5.3274e-17,2.4378e+05,1.9803,1,0.0021284,0.502,0.000728,1
1.1488,428.11,486.65,58.156,-5.3342e-17,2.4483e+05,1.9873,1,0.0031926,0.503,0.001092,1
1.1469,428.4,485.68,58.974,-5.341e-17,2.4588e+05,1.9943,1,0.0042568,0.504,0.001456,1
1.145,428.7,484.72,59.792,-5.3478e-17,2.4693e+05,2.0013,1,0.0053209,0.505,0.00182,1
1.1431,428.99,483.75,60.611,-5.3546e-17,2.4798e+05,2.0083,1,0.0063851,0.506,0.002184,1
1.1413,429.28,482.79,61.429,-5.3615e-17,2.4903e+05,2.0153,1,0.0074493,0.507,0.002548,1
1.1394,429.57,481.82,62.248,-5.3683e-17,2.5008e+05,2.0224,1,0.0085135,0.508,0.002912,1
1.1375,429.87,480.86,63.066,-5.3751e-17,2.5113e+05,2.0294,1,0.0095777,0.509,0.003276,1
1.1356,430.16,479.9,63.885,-5.3819e-17,2.5218e+05,2.0364,1,0.010642,0.51,0.00364,1
1.1337,430.45,478.93,64.703,-5.3887e-17,2.5323e+05,2.0434,1,0.011706,0.511,0.004004,1
1.1319,430.75,477.97,65.522,-5.3956e-17,2.5427e+05,2.0504,1,0.01277,0.512,0.004368,1
1.13,431.04,477,66.34,-5.4024e-17,2.5532e+05,2.0574,1,0.013834,0.513,0.004732,1
1.1281,431.33,476.04,67.159,-5.4092e-17,2.5637e+05,2.0644,1,0.014899,0.514,0.005096,1
1.1262,431.63,475.07,67.977,-5.416e-17,2.5742e+05,2.0714,1,0.015963,0.515,0.00546,1
1.1243,431.92,474.11,68.795,-5.4228e-17,2.5847e+05,2.0784,1,0.017027,0.516,0.005824,1
1.1225,432.21,473.14,69.614,-5.4297e-17,2.5952e+05,2.0854,1,0.018091,0.517,0.006188,1
1.1206,432.5,472.18,70.432,-5.4365e-17,2.6057e+05,2.0924,1,0.019155,0.518,0.006552,1
1.1186,432.81,471.15,71.329,-5.4238e-17,2.6168e+05,2.0998,1,0.02022,0.519,0.006916,1
1.1161,433.18,469.74,72.738,-5.283e-17,2.632e+05,2.1102,1,0.021284,0.52,0.00728,1
1.1137,433.55,468.33,74.146,-5.1422e-17,2.6472e+05,2.1205,1,0.022348,0.521,0.007644,1
1.1112,433.91,466.92,75.555,-5.0013e-17,2.6624e+05,2.1308,1,0.023412,0.522,0.008008,1
1.1087,434.28,465.52,76.964,-4.8605e-17,2.6776e+05,2.1412,1,0.024476,0.523,0.008372,1
1.1062,434.65,464.11,78.373,-4.7197e-17,2.6928e+05,2.1515,1,0.025541,0.524,0.008736,1
1.1037,435.02,462.7,79.781,-4.5789e-17,2.708e+05,2.1618,1,0.026605,0.525,0.0091,1
1.1012,435.39,461.29,81.19,-4.4381e-17,2.7232e+05,2.1721,1,0.027669,0.526,0.009464,1
1.0988,435.76,459.88,82.599,-4.2973e-17,2.7384e+05,2.1825,1,0.028733,0.527,0.009828,1
1.0963,436.13,458.47,84.008,-4.1565e-17,2.7536e+05,2.1928,1,0.029797,0.528,0.010192,1
1.0938,436.5,457.06,85.417,-4.0157e-17,2.7687e+05,2.2031,1,0.030861,0.529,0.010556,1
1.0913,436.87,455.65,86.825,-3.8748e-17,2.7839e+05,2.2134,1,0.031926,0.53,0.01092,1
1.0888,437.23,454.24,88.234,-3.734e-17,2.7991e+05,2.2238,1,0.03299,0.531,0.011284,1
1.0863,437.6,452.83,89.643,-3.5932e-17,2.8143e+05,2.2341,1,0.034054,0.532,0.011648,1
1.0839,437.97,451.42,91.052,-3.4524e-17,2.8295e+05,2.2444,1,0.035118,0.533,0.012012,1
1.0814,438.34,450.02,92.461,-3.3116e-17,2.8447e+05,2.2548,1,0.036182,0.534,0.012376,1
nan,nan,nan,nan,nan,nan,nan,0,0.037247,0.535,0.01274,1
1.0764,439.08,447.2,95.278,-3.0299e-17,2.8751e+05,2.2754,1,0.038311,0.536,0.013104,1
1.0739,439.45,445.79,96.687,-2.8891e-17,2.8903e+05,2.2857,1,0.039375,0.537,0.013468,1
1.0719,439.74,444.6,97.979,-2.7465e-17,2.903e+05,2.2944,1,0.040439,0.538,0.013832,1
1.0713,439.8,444.01,98.943,-2.5989e-17,2.9087e+05,2.2986,1,0.041503,0.539,0.014196,1
1.0707,439.86,443.43,99.908,-2.4513e-17,2.9144e+05,2.3028,1,0.042568,0.54,0.01456,1
1.0701,439.92,442.84,100.87,-2.3036e-17,2.9201e+05,2.307,1,0.043632,0.541,0.014924,1
1.0695,439.99,442.26,101.84,-2.156e-17,2.9258e+05,2.3112,1,0.044696,0.542,0.015288,1
1.0689,440.05,441.67,102.8,-2.0084e-17,2.9315e+05,2.3153,1,0.04576,0.543,0.015652,1
1.0683,440.11,441.08,103.77,-1.8607e-17,2.9372e+05,2.3195,1,0.046824,0.544,0.016016,1
1.0677,440.18,440.5,104.73,-1.7131e-17,2.9429e+05,2.3237,1,0.047888,0.545,0.01638,1
1.0671,440.24,439.91,105.7,-1.5655e-17,2.9486e+05,2.3279,1,0.048953,0.546,0.016744,1
1.0665,440.3,439.33,106.66,-1.4178e-17,2.9543e+05,2.3321,1,0.050017,0.547,0.017108,1
1.0659,440.36,438.74,107.63,-1.2702e-17,2.96e+05,2.3363,1,0.051081,0.548,0.017472,1
1.0653,440.43,438.16,108.59,-1.1226e-17,2.9657e+05,2.3404,1,0.052145,0.549,0.017836,1
1.0647,440.49,437.57,109.56,-9.7493e-18,2.9714e+05,2.3446,1,0.053209,0.55,0.0182,1
1.0641,440.55,436.99,110.52,-8.273e-18,2.9771e+05,2.3488,1,0.054274,0.551,0.018564,1
1.0635,440.62,436.4,111.49,-6.7967e-18,2.9828e+05,2.353,1,0.055338,0.552,0.018928,1
1.0629,440.68,435.82,112.45,-5.3204e-18,2.9885e+05,2.3572,1,0.056402,0.553,0.019292,1
1.0624,440.74,435.23,113.42,-3.844e-18,2.9942e+05,2.3613,1,0.057466,0.554,0.019656,1
1.0618,440.8,434.65,114.38,-2.3677e-18,3e+05,2.3655,1,0.05853,0.555,0.02002,1
1.0612,440.87,434.06,115.35,-8.914e-19,3.0057e+05,2.3697,1,0.059595,0.556,0.020384,1
1.0609,440.89,433.66,116.16,6.5081e-19,3.0092e+05,2.3724,1,0.060659,0.557,0.020748,1
1.0611,440.83,433.53,116.75,2.2935e-18,3.0094e+05,2.3729,1,0.061723,0.558,0.021112,1
1.0614,440.78,433.4,117.34,3.9362e-18,3.0097e+05,2.3733,1,0.062787,0.559,0.021476,1
1.0617,440.73,433.27,117.93,5.5788e-18,3.0099e+05,2.3738,1,0.063851,0.56,0.02184,1
1.0619,440.68,433.15,118.52,7.2214e-18,3.0102e+05,2.3743,1,0.064915,0.561,0.022204,1
1.0622,440.63,433.02,119.11,8.8641e-18,3.0104e+05,2.3747,1,0.06598,0.562,0.022568,1
1.0624,440.58,432.89,119.7,1.0507e-17,3.0106e+05,2.3752,1,0.067044,0.563,0.022932,1
1.0627,440.53,432.76,120.29,1.2149e-17,3.0109e+05,2.3757,1,0.068108,0.564,0.023296,1
1.0629,440.48,432.64,120.88,1.3792e-17,3.0111e+05,2.3761,1,0.069172,0.565,0.02366,1
1.0632,440.43,432.51,121.46,1.5435e-17,3.0113e+05,2.3766,1,0.070236,0.566,0.024024,1
1.0635,440.37,432.38,122.05,1.7077e-17,3.0116e+05,2.377,1,0.071301,0.567,0.024388,1
1.0637,440.32,432.25,122.64,1.872e-17,3.0118e+05,2.3775,1,0.072365,0.568,0.024752,1
1.064,440.27,432.13,123.23,2.0363e-17,3.0121e+05,2.378,1,0.073429,0.569,0.025116,1
1.0642,440.22,432,123.82,2.2005e-17,3.0123e+05,2.3784,1,0.074493,0.57,0.02548,1
1.0645,440.17,431.87,124.41,2.3648e-17,3.0125e+05,2.3789,1,0.075557,0.571,0.025844,1
1.0647,440.12,431.75,125,2.5291e-17,3.0128e+05,2.3794,1,0.076622,0.572,0.026208,1
1.065,440.07,431.62,125.59,2.6933e-17,3.013e+05,2.3798,1,0.077686,0.573,0.026572,1
1.0652,440.02,431.49,126.18,2.8576e-17,3.0133e+05,2.3803,1,0.07875,0.574,0.026936,1
1.0655,439.97,431.36,126.77,3.0219e-17,3.0135e+05,2.3808,1,0.079814,0.575,0.0273,1
1.0659,439.9,431.34,127.22,3.0993e-17,3.0126e+05,2.3804,1,0.080878,0.576,0.027664,1
1.0664,439.83,431.41,127.55,3.0993e-17,3.0107e+05,2.3792,1,0.081942,0.577,0.028028,1
1.0669,439.76,431.49,127.89,3.0993e-17,3.0087e+05,2.3781,1,0.083007,0.578,0.028392,1
1.0675,439.68,431.56,128.22,3.0993e-17,3.0068e+05,2.377,1,0.084071,0.579,0.028756,1
1.068,439.61,431.63,128.56,3.0993e-17,3.0048e+05,2.3758,1,0.085135,0.58,0.02912,1
1.0685,439.54,431.71,128.89,3.0993e-17,3.0029e+05,2.3747,1,0.086199,0.581,0.029484,1
1.069,439.47,431.78,129.22,3.0993e-17,3.001e+05,2.3735,1,0.087263,0.582,0.029848,1
1.0696,439.39,431.85,129.56,3.0993e-17,2.999e+05,2.3724,1,0.088328,0.583,0.030212,1
1.0701,439.32,431.93,129.89,3.0993e-17,2.9971e+05,2.3713,1,0.089392,0.584,0.030576,1
1.0706,439.25,432,130.23,3.0993e-17,2.9952e+05,2.3701,1,0.090456,0.585,0.03094,1
1.0711,439.17,432.07,130.56,3.0993e-17,2.9932e+05,2.369,1,0.09152,0.586,0.031304,1
1.0717,439.1,432.15,130.89,3.0993e-17,2.9913e+05,2.3678,1,0.092584,0.587,0.031668,1
1.0722,439.03,432.22,131.23,3.0993e-17,2.9894e+05,2.3667,1,0.093649,0.588,0.032032,1
1.0727,438.96,432.29,131.56,3.0993e-17,2.9874e+05,2.3656,1,0.094713,0.589,0.032396,1
1.0732,438.88,432.37,131.89,3.0993e-17,2.9855e+05,2.3644,1,0.095777,0.59,0.03276,1
1.0737,438.81,432.44,132.23,3.0993e-17,2.9836e+05,2.3633,1,0.096841,0.591,0.033124,1
1.0743,438.74,432.51,132.56,3.0993e-17,2.9816e+05,2.3621,1,0.097905,0.592,0.033488,1
1.0748,438.67,432.58,132.9,3.0993e-17,2.9797e+05,2.361,1,0.098969,0.593,0.033852,1
1.0753,438.59,432.66,133.23,3.0993e-17,2.9778e+05,2.3599,1,0.10003,0.594,0.034216,1
1.0758,438.53,432.76,133.47,2.9909e-17,2.9757e+05,2.3586,1,0.1011,0.595,0.03458,1
1.0763,438.48,432.87,133.65,2.8266e-17,2.9736e+05,2.3572,1,0.10216,0.596,0.034944,1
1.0767,438.42,432.98,133.83,2.6623e-17,2.9715e+05,2.3558,1,0.10323,0.597,0.035308,1
1.0772,438.36,433.09,134.02,2.4981e-17,2.9694e+05,2.3544,1,0.10429,0.598,0.035672,1
1.0777,438.31,433.2,134.2,2.3338e-17,2.9673e+05,2.3531,1,0.10535,0.599,0.036036,1
1.0781,438.25,433.31,134.39,2.1695e-17,2.9651e+05,2.3517,1,0.10642,0.6,0.0364,1
1.0786,438.2,433.42,134.57,2.0053e-17,2.963e+05,2.3503,1,0.10748,0.601,0.036764,1
