"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,1.0132e+05,1.174,1,0,0,0.555,1
1.9978,300,694.73,8.0773e-10,0,1.0132e+05,1.174,1,0.0025,0.0025,0.555,1
1.9978,300,694.73,1.6155e-09,0,1.0132e+05,1.174,1,0.005,0.005,0.555,1
1.9978,300,694.73,2.4232e-09,0,1.0132e+05,1.174,1,0.0075,0.0075,0.555,1
1.9978,300,694.73,3.2309e-09,0,1.0132e+05,1.174,1,0.01,0.01,0.555,1
1.9978,300,694.73,4.0387e-09,0,1.0132e+05,1.174,1,0.0125,0.0125,0.555,1
1.9978,300,694.73,4.8464e-09,0,1.0132e+05,1.174,1,0.015,0.015,0.555,1
1.9978,300,694.73,5.6541e-09,0,1.0132e+05,1.174,1,0.0175,0.0175,0.555,1
1.9978,300,694.73,6.4619e-09,0,1.0132e+05,1.174,1,0.02,0.02,0.555,1
1.9978,300,694.73,7.2696e-09,0,1.0132e+05,1.174,1,0.0225,0.0225,0.555,1
1.9978,300,694.73,8.0773e-09,0,1.0132e+05,1.174,1,0.025,0.025,0.555,1
1.9978,300,694.73,8.885e-09,0,1.0132e+05,1.174,1,0.0275,0.0275,0.555,1
1.9978,300,694.73,9.6928e-09,0,1.0132e+05,1.174,1,0.03,0.03,0.555,1
1.9978,300,694.73,1.0641e-08,0,1.0132e+05,1.174,1,0.0325,0.0325,0.555,1
1.9978,300,694.73,1.1731e-08,0,1.0132e+05,1.174,1,0.035,0.035,0.555,1
1.9978,300,694.73,1.282e-08,0,1.0132e+05,1.174,1,0.0375,0.0375,0.555,1
1.9978,300,694.73,1.3909e-08,0,1.0132e+05,1.174,1,0.04,0.04,0.555,1
1.9978,300,694.73,1.4999e-08,0,1.0132e+05,1.174,1,0.0425,0.0425,0.555,1
1.9978,300,694.73,1.6088e-08,0,1.0132e+05,1.174,1,0.045,0.045,0.555,1
1.9978,300,694.73,1.7177e-08,0,1.0132e+05,1.174,1,0.0475,0.0475,0.555,1
1.9978,300,694.73,1.8267e-08,0,1.0132e+05,1.174,1,0.05,0.05,0.555,1
1.9978,300,694.73,1.9356e-08,0,1.0132e+05,1.174,1,0.0525,0.0525,0.555,1
1.9978,300,694.73,2.0445e-08,0,1.0132e+05,1.174,1,0.055,0.055,0.555,1
1.9978,300,694.73,2.1535e-08,0,1.0132e+05,1.174,1,0.0575,0.0575,0.555,1
1.9978,300,694.73,2.2624e-08,0,1.0132e+05,1.174,1,0.06,0.06,0.555,1
1.9978,300,694.73,2.3713e-08,0,1.0132e+05,1.174,1,0.0625,0.0625,0.555,1
1.9978,300,694.73,2.5538e-08,0,1.0132e+05,1.174,1,0.065,0.065,0.555,1
1.9978,300,694.73,2.7363e-08,0,1.0132e+05,1.174,1,0.0675,0.0675,0.555,1
1.9978,300,694.73,2.9188e-08,0,1.0132e+05,1.174,1,0.07,0.07,0.555,1
1.9978,300,694.73,3.1013e-08,0,1.0132e+05,1.174,1,0.0725,0.0725,0.555,1
1.9978,300,694.73,3.2838e-08,0,1.0132e+05,1.174,1,0.075,0.075,0.555,1
1.9978,300,694.73,3.4663e-08,0,1.0132e+05,1.174,1,0.0775,0.0775,0.555,1
1.9978,300,694.73,3.6488e-08,0,1.0132e+05,1.174,1,0.08,0.08,0.555,1
1.9978,300,694.73,3.8313e-08,0,1.0132e+05,1.174,1,0.0825,0.0825,0.555,1
1.9978,300,694.73,4.0138e-08,0,1.0132e+05,1.174,1,0.085,0.085,0.555,1
1.9978,300,694.73,4.1963e-08,0,1.0132e+05,1.174,1,0.0875,0.0875,0.555,1
1.9978,300,694.73,4.3788e-08,0,1.0132e+05,1.174,1,0.09,0.09,0.555,1
1.9978,300,694.73,4.5613e-08,0,1.0132e+05,1.174,1,0.0925,0.0925,0.555,1
1.9978,300,694.73,4.8019e-08,0,1.0132e+05,1.174,1,0.095,0.095,0.555,1
1.9978,300,694.73,5.1006e-08,0,1.0132e+05,1.174,1,0.0975,0.0975,0.555,1
1.9978,300,694.73,5.3993e-08,0,1.0132e+05,1.174,1,0.1,0.1,0.555,1
1.9978,300,694.73,5.698e-08,0,1.0132e+05,1.174,1,0.1025,0.1025,0.555,1
1.9978,300,694.73,5.9966e-08,0,1.0132e+05,1.174,1,0.105,0.105,0.555,1
1.9978,300,694.73,6.2953e-08,0,1.0132e+05,1.174,1,0.1075,0.1075,0.555,1
1.9978,300,694.73,6.594e-08,0,1.0132e+05,1.174,1,0.11,0.11,0.555,1
1.9978,300,694.73,6.8927e-08,0,1.0132e+05,1.174,1,0.1125,0.1125,0.555,1
1.9978,300,694.73,7.1914e-08,0,1.0132e+05,1.174,1,0.115,0.115,0.555,1
1.9978,300,694.73,7.49e-08,0,1.0132e+05,1.174,1,0.1175,0.1175,0.555,1
1.9978,300,694.73,7.7887e-08,0,1.0132e+05,1.174,1,0.12,0.12,0.555,1
1.9978,300,694.73,8.0874e-08,0,1.0132e+05,1.174,1,0.1225,0.1225,0.555,1
1.9978,300,694.73,8.3861e-08,0,1.0132e+05,1.174,1,0.125,0.125,0.555,1
1.9978,300,694.73,8.8685e-08,0,1.0132e+05,1.174,1,0.1275,0.1275,0.555,1
1.9978,300,694.73,9.3508e-08,0,1.0132e+05,1.174,1,0.13,0.13,0.555,1
1.9978,300,694.73,9.8332e-08,0,1.0132e+05,1.174,1,0.1325,0.1325,0.555,1
1.9978,300,694.73,1.0316e-07,0,1.0132e+05,1.174,1,0.135,0.135,0.555,1
1.9978,300,694.73,1.0798e-07,0,1.0132e+05,1.174,1,0.1375,0.1375,0.555,1
1.9978,300,694.73,1.128e-07,0,1.0132e+05,1.174,1,0.14,0.14,0.555,1
1.9978,300,694.73,1.1763e-07,0,1.0132e+05,1.174,1,0.1425,0.1425,0.555,1
1.9978,300,694.73,1.2245e-07,0,1.0132e+05,1.174,1,0.145,0.145,0.555,1
1.9978,300,694.73,1.2727e-07,0,1.0132e+05,1.174,1,0.1475,0.1475,0.555,1
1.9978,300,694.73,1.321e-07,0,1.0132e+05,1.174,1,0.15,0.15,0.555,1
1.9978,300,694.73,1.3692e-07,0,1.0132e+05,1.174,1,0.1525,0.1525,0.555,1
1.9978,300,694.73,1.4175e-07,0,1.0132e+05,1.174,1,0.155,0.155,0.555,1
1.9978,300,694.73,1.4802e-07,0,1.0132e+05,1.174,1,0.1575,0.1575,0.555,1
1.9978,300,694.73,1.5575e-07,0,1.0132e+05,1.174,1,0.16,0.16,0.555,1
1.9978,300,694.73,1.6348e-07,0,1.0132e+05,1.174,1,0.1625,0.1625,0.555,1
1.9978,300,694.73,1.7121e-07,0,1.0132e+05,1.174,1,0.165,0.165,0.555,1
1.9978,300,694.73,1.7894e-07,0,1.0132e+05,1.174,1,0.1675,0.1675,0.555,1
1.9978,300,694.73,1.8667e-07,0,1.0132e+05,1.174,1,0.17,0.17,0.555,1
1.9978,300,694.73,1.944e-07,0,1.0132e+05,1.174,1,0.1725,0.1725,0.555,1
1.9978,300,694.73,2.0212e-07,0,1.0132e+05,1.174,1,0.175,0.175,0.555,1
1.9978,300,694.73,2.0985e-07,0,1.0132e+05,1.174,1,0.1775,0.1775,0.555,1
1.9978,300,694.73,2.1758e-07,0,1.0132e+05,1.174,1,0.18,0.18,0.555,1
1.9978,300,694.73,2.2531e-07,0,1.0132e+05,1.174,1,0.1825,0.1825,0.555,1
1.9978,300,694.73,2.3304e-07,0,1.0132e+05,1.174,1,0.185,0.185,0.555,1
1.9978,300,694.73,2.4077e-07,0,1.0132e+05,1.174,1,0.1875,0.1875,0.555,1
1.9978,300,694.73,2.5309e-07,0,1.0132e+05,1.174,1,0.19,0.19,0.555,1
1.9978,300,694.73,2.6542e-07,0,1.0132e+05,1.174,1,0.1925,0.1925,0.555,1
1.9978,300,694.73,2.7774e-07,0,1.0132e+05,1.174,1,0.195,0.195,0.555,1
1.9978,300,694.73,2.9006e-07,0,1.0132e+05,1.174,1,0.1975,0.1975,0.555,1
1.9978,300,694.73,3.0238e-07,0,1.0132e+05,1.174,1,0.2,0.2,0.555,1
1.9978,300,694.73,3.1471e-07,0,1.0132e+05,1.174,1,0.2025,0.2025,0.555,1
1.9978,300,694.73,3.2703e-07,0,1.0132e+05,1.174,1,0.205,0.205,0.555,1
1.9978,300,694.73,3.3935e-07,0,1.0132e+05,1.174,1,0.2075,0.2075,0.555,1
1.9978,300,694.73,3.5168e-07,0,1.0132e+05,1.174,1,0.21,0.21,0.555,1
1.9978,300,694.73,3.64e-07,0,1.0132e+05,1.174,1,0.2125,0.2125,0.555,1
1.9978,300,694.73,3.7632e-07,0,1.0132e+05,1.174,1,0.215,0.215,0.555,1
1.9978,300,694.73,3.8864e-07,0,1.0132e+05,1.174,1,0.2175,0.2175,0.555,1
1.9978,300,694.73,4.046e-07,0,1.0132e+05,1.174,1,0.22,0.22,0.555,1
1.9978,300,694.73,4.2419e-07,0,1.0132e+05,1.174,1,0.2225,0.2225,0.555,1
1.9978,300,694.73,4.4377e-07,0,1.0132e+05,1.174,1,0.225,0.225,0.555,1
1.9978,300,694.73,4.6336e-07,0,1.0132e+05,1.174,1,0.2275,0.2275,0.555,1
1.9978,300,694.73,4.8295e-07,0,1.0132e+05,1.174,1,0.23,0.23,0.555,1
1.9978,300,694.73,5.0254e-07,0,1.0132e+05,1.174,1,0.2325,0.2325,0.555,1
1.9978,300,694.73,5.2212e-07,0,1.0132e+05,1.174,1,0.235,0.235,0.555,1
1.9978,300,694.73,5.4171e-07,0,1.0132e+05,1.174,1,0.2375,0.2375,0.555,1
1.9978,300,694.73,5.613e-07,0,1.0132e+05,1.174,1,0.24,0.24,0.555,1
1.9978,300,694.73,5.8089e-07,0,1.0132e+05,1.174,1,0.2425,0.2425,0.555,1
1.9978,300,694.73,6.0047e-07,0,1.0132e+05,1.174,1,0.245,0.245,0.555,1
1.9978,300,694.73,6.2006e-07,0,1.0132e+05,1.174,1,0.2475,0.2475,0.555,1
1.9978,300,694.73,6.3965e-07,0,1.0132e+05,1.174,1,0.25,0.25,0.555,1
1.9978,300,694.73,6.7072e-07,0,1.0132e+05,1.174,1,0.2525,0.2525,0.555,1
1.9978,300,694.73,7.0179e-07,0,1.0132e+05,1.174,1,0.255,0.255,0.555,1
1.9978,300,694.73,7.3287e-07,0,1.0132e+05,1.174,1,0.2575,0.2575,0.555,1
1.9978,300,694.73,7.6394e-07,0,1.0132e+05,1.174,1,0.26,0.26,0.555,1
1.9978,300,694.73,7.9501e-07,0,1.0132e+05,1.174,1,0.2625,0.2625,0.555,1
1.9978,300,694.73,8.2609e-07,0,1.0132e+05,1.174,1,0.265,0.265,0.555,1
1.9978,300,694.73,8.5716e-07,0,1.0132e+05,1.174,1,0.2675,0.2675,0.555,1
1.9978,300,694.73,8.8824e-07,0,1.0132e+05,1.174,1,0.27,0.27,0.555,1
1.9978,300,694.73,9.1931e-07,0,1.0132e+05,1.174,1,0.2725,0.2725,0.555,1
1.9978,300,694.73,9.5038e-07,0,1.0132e+05,1.174,1,0.275,0.275,0.555,1
1.9978,300,694.73,9.8146e-07,0,1.0132e+05,1.174,1,0.2775,0.2775,0.555,1
1.9978,300,694.73,1.0125e-06,0,1.0132e+05,1.174,1,0.28,0.28,0.555,1
1.9978,300,694.73,1.0527e-06,0,1.0132e+05,1.174,1,0.2825,0.2825,0.555,1
1.9978,300,694.73,1.1019e-06,0,1.0132e+05,1.174,1,0.285,0.285,0.555,1
1.9978,300,694.73,1.1511e-06,0,1.0132e+05,1.174,1,0.2875,0.2875,0.555,1
1.9978,300,694.73,1.2004e-06,0,1.0132e+05,1.174,1,0.29,0.29,0.555,1
1.9978,300,694.73,1.2496e-06,0,1.0132e+05,1.174,1,0.2925,0.2925,0.555,1
1.9978,300,694.73,1.2988e-06,0,1.0132e+05,1.174,1,0.295,0.295,0.555,1
1.9978,300,694.73,1.3481e-06,0,1.0132e+05,1.174,1,0.2975,0.2975,0.555,1
1.9978,300,694.73,1.3973e-06,0,1.0132e+05,1.174,1,0.3,0.3,0.555,1
1.9978,300,694.73,1.4465e-06,0,1.0132e+05,1.174,1,0.3025,0.3025,0.555,1
1.9978,300,694.73,1.4958e-06,0,1.0132e+05,1.174,1,0.305,0.305,0.555,1
