"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8121,325.65,657.34,20.792,2.9218e-18,1.3153e+05,1,0.061258,0.561,0.005612,1
1.8112,325.78,657.12,21.132,3.0145e-18,1.3176e+05,1,0.062262,0.562,0.005704,1
1.8103,325.9,656.89,21.472,3.1072e-18,1.3198e+05,1,0.063266,0.563,0.005796,1
1.8094,326.03,656.66,21.812,3.1999e-18,1.322e+05,1,0.06427,0.564,0.005888,1
1.8085,326.15,656.44,22.151,3.2926e-18,1.3243e+05,1,0.065274,0.565,0.00598,1
1.8077,326.28,656.21,22.491,3.3852e-18,1.3265e+05,1,0.066279,0.566,0.006072,1
1.8068,326.4,655.98,22.831,3.4779e-18,1.3287e+05,1,0.067283,0.567,0.006164,1
1.8059,326.53,655.75,23.171,3.5705e-18,1.331e+05,1,0.068287,0.568,0.006256,1
1.805,326.65,655.53,23.511,3.6632e-18,1.3332e+05,1,0.069291,0.569,0.006348,1
1.8041,326.78,655.3,23.85,3.7558e-18,1.3354e+05,1,0.070296,0.57,0.00644,1
1.8032,326.9,655.07,24.19,3.8484e-18,1.3377e+05,1,0.0713,0.571,0.006532,1
1.8024,327.03,654.85,24.53,3.941e-18,1.3399e+05,1,0.072304,0.572,0.006624,1
1.8015,327.15,654.62,24.87,4.0336e-18,1.3422e+05,1,0.073308,0.573,0.006716,1
1.8006,327.28,654.39,25.21,4.1262e-18,1.3444e+05,1,0.074313,0.574,0.006808,1
1.7998,327.39,654.19,25.549,4.1874e-18,1.3464e+05,1,0.075317,0.575,0.0069,1
1.7991,327.48,654.01,25.886,4.1961e-18,1.3482e+05,1,0.076321,0.576,0.006992,1
1.7985,327.57,653.83,26.224,4.2048e-18,1.3499e+05,1,0.077325,0.577,0.007084,1
1.7978,327.67,653.65,26.562,4.2134e-18,1.3517e+05,1,0.078329,0.578,0.007176,1
1.7972,327.76,653.48,26.899,4.2221e-18,1.3534e+05,1,0.079334,0.579,0.007268,1
1.7965,327.85,653.3,27.237,4.2308e-18,1.3552e+05,1,0.080338,0.58,0.00736,1
1.7959,327.94,653.12,27.575,4.2394e-18,1.3569e+05,1,0.081342,0.581,0.007452,1
1.7952,328.04,652.94,27.912,4.2481e-18,1.3587e+05,1,0.082346,0.582,0.007544,1
1.7946,328.13,652.77,28.25,4.2568e-18,1.3604e+05,1,0.083351,0.583,0.007636,1
1.7939,328.22,652.59,28.588,4.2654e-18,1.3622e+05,1,0.084355,0.584,0.007728,1
1.7932,328.31,652.41,28.925,4.2741e-18,1.3639e+05,1,0.085359,0.585,0.00782,1
1.7926,328.41,652.24,29.263,4.2827e-18,1.3657e+05,1,0.086363,0.586,0.007912,1
1.7919,328.5,652.06,29.601,4.2914e-18,1.3674e+05,1,0.087367,0.587,0.008004,1
1.7913,328.59,651.88,29.939,4.3001e-18,1.3692e+05,1,0.088372,0.588,0.008096,1
1.7906,328.68,651.7,30.276,4.3087e-18,1.371e+05,1,0.089376,0.589,0.008188,1
1.7901,328.76,651.55,30.608,4.2286e-18,1.3725e+05,1,0.09038,0.59,0.00828,1
1.7896,328.82,651.42,30.932,4.0389e-18,1.3738e+05,1,0.091384,0.591,0.008372,1
1.7892,328.89,651.29,31.257,3.8492e-18,1.3751e+05,1,0.092389,0.592,0.008464,1
1.7887,328.95,651.15,31.581,3.6596e-18,1.3763e+05,1,0.093393,0.593,0.008556,1
1.7883,329.01,651.02,31.906,3.4699e-18,1.3776e+05,1,0.094397,0.594,0.008648,1
1.7878,329.08,650.89,32.23,3.2803e-18,1.3789e+05,1,0.095401,0.595,0.00874,1
1.7874,329.14,650.76,32.554,3.0907e-18,1.3802e+05,1,0.096405,0.596,0.008832,1
1.7869,329.2,650.63,32.879,2.9011e-18,1.3815e+05,1,0.09741,0.597,0.008924,1
1.7865,329.26,650.5,33.203,2.7115e-18,1.3828e+05,1,0.098414,0.598,0.009016,1
1.786,329.33,650.37,33.528,2.5219e-18,1.384e+05,1,0.099418,0.599,0.009108,1
1.7856,329.39,650.24,33.852,2.3324e-18,1.3853e+05,1,0.10042,0.6,0.0092,1
1.7851,329.45,650.11,34.176,2.1428e-18,1.3866e+05,1,0.10143,0.601,0.009292,1
1.7847,329.51,649.98,34.501,1.9533e-18,1.3879e+05,1,0.10243,0.602,0.009384,1
1.7842,329.58,649.84,34.825,1.7638e-18,1.3892e+05,1,0.10343,0.603,0.009476,1
1.7838,329.64,649.71,35.15,1.5743e-18,1.3905e+05,1,0.10444,0.604,0.009568,1
