"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.493,300,519.2,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.17375,1
1.493,300,519.2,4.693e-16,0,0.54712,72.391,0.46604,155.33,1.0132e+05,1.174,1,0.0025,0.0025,0.17375,1
1.493,300,519.2,9.3861e-16,0,0.54711,72.383,0.46603,155.32,1.0132e+05,1.174,1,0.005,0.005,0.17375,1
1.493,300,519.2,1.4079e-15,0,0.54711,72.377,0.46603,155.3,1.0132e+05,1.174,1,0.0075,0.0075,0.17375,1
1.493,300,519.2,1.8772e-15,0,0.5471,72.369,0.46603,155.29,1.0132e+05,1.174,1,0.01,0.01,0.17375,1
1.493,300,519.2,2.3465e-15,0,0.5471,72.363,0.46602,155.28,1.0132e+05,1.174,1,0.0125,0.0125,0.17375,1
1.493,300,519.2,7.6413e-15,0,0.5471,72.358,0.46602,155.27,1.0132e+05,1.174,1,0.015,0.015,0.17375,1
1.493,300,519.2,1.2936e-14,0,0.54709,72.353,0.46602,155.26,1.0132e+05,1.174,1,0.0175,0.0175,0.17375,1
1.493,300,519.2,1.8231e-14,0,0.54709,72.348,0.46602,155.25,1.0132e+05,1.174,1,0.02,0.02,0.17375,1
1.493,300,519.2,2.3526e-14,0,0.54709,72.343,0.46601,155.24,1.0132e+05,1.174,1,0.0225,0.0225,0.17375,1
1.493,300,519.2,2.882e-14,0,0.54708,72.338,0.46601,155.23,1.0132e+05,1.174,1,0.025,0.025,0.17375,1
1.493,300,519.2,3.1507e-14,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.0275,0.0275,0.17375,1
1.493,300,519.2,3.4194e-14,0,0.54708,72.328,0.46601,155.21,1.0132e+05,1.174,1,0.03,0.03,0.17375,1
1.493,300,519.2,3.6881e-14,0,0.54707,72.324,0.466,155.2,1.0132e+05,1.174,1,0.0325,0.0325,0.17375,1
1.493,300,519.2,3.9568e-14,0,0.54707,72.319,0.466,155.19,1.0132e+05,1.174,1,0.035,0.035,0.17375,1
1.493,300,519.2,4.2255e-14,0,0.54707,72.314,0.466,155.18,1.0132e+05,1.174,1,0.0375,0.0375,0.17375,1
1.493,300,519.2,4.0791e-14,0,0.54707,72.309,0.46599,155.17,1.0132e+05,1.174,1,0.04,0.04,0.17375,1
1.493,300,519.2,3.9328e-14,0,0.54706,72.304,0.46599,155.16,1.0132e+05,1.174,1,0.0425,0.0425,0.17375,1
1.493,300,519.2,3.7864e-14,0,0.54706,72.299,0.46599,155.15,1.0132e+05,1.174,1,0.045,0.045,0.17375,1
1.493,300,519.2,3.6401e-14,0,0.54706,72.294,0.46599,155.14,1.0132e+05,1.174,1,0.0475,0.0475,0.17375,1
1.493,300,519.2,3.4937e-14,0,0.54705,72.29,0.46598,155.13,1.0132e+05,1.174,1,0.05,0.05,0.17375,1
1.493,300,519.2,3.1231e-14,0,0.54705,72.285,0.46598,155.12,1.0132e+05,1.174,1,0.0525,0.0525,0.17375,1
1.493,300,519.2,2.7524e-14,0,0.54705,72.28,0.46598,155.11,1.0132e+05,1.174,1,0.055,0.055,0.17375,1
1.493,300,519.2,2.3817e-14,0,0.54704,72.275,0.46598,155.1,1.0132e+05,1.174,1,0.0575,0.0575,0.17375,1
1.493,300,519.2,2.0111e-14,0,0.54704,72.27,0.46597,155.09,1.0132e+05,1.174,1,0.06,0.06,0.17375,1
1.493,300,519.2,1.6404e-14,0,0.54704,72.265,0.46597,155.08,1.0132e+05,1.174,1,0.0625,0.0625,0.17375,1
1.493,300,519.2,1.1479e-14,0,0.54704,72.26,0.46597,155.08,1.0132e+05,1.174,1,0.065,0.065,0.17375,1
1.493,300,519.2,6.5544e-15,0,0.54703,72.256,0.46597,155.07,1.0132e+05,1.174,1,0.0675,0.0675,0.17375,1
1.493,300,519.2,1.6294e-15,0,0.54703,72.251,0.46596,155.06,1.0132e+05,1.174,1,0.07,0.07,0.17375,1
1.493,300,519.2,-3.2956e-15,0,0.54703,72.246,0.46596,155.05,1.0132e+05,1.174,1,0.0725,0.0725,0.17375,1
1.493,300,519.2,-8.2206e-15,0,0.54702,72.241,0.46596,155.04,1.0132e+05,1.174,1,0.075,0.075,0.17375,1
1.493,300,519.2,-1.0336e-14,0,0.54702,72.236,0.46596,155.03,1.0132e+05,1.174,1,0.0775,0.0775,0.17375,1
1.493,300,519.2,-1.2451e-14,0,0.54702,72.231,0.46595,155.02,1.0132e+05,1.174,1,0.08,0.08,0.17375,1
1.493,300,519.2,-1.4566e-14,0,0.54701,72.226,0.46595,155.01,1.0132e+05,1.174,1,0.0825,0.0825,0.17375,1
1.493,300,519.2,-1.6681e-14,0,0.54701,72.222,0.46595,155,1.0132e+05,1.174,1,0.085,0.085,0.17375,1
1.493,300,519.2,-1.8796e-14,0,0.54701,72.217,0.46595,154.99,1.0132e+05,1.174,1,0.0875,0.0875,0.17375,1
1.493,300,519.2,-2.0953e-14,0,0.547,72.212,0.46594,154.98,1.0132e+05,1.174,1,0.09,0.09,0.17375,1
1.493,300,519.2,-2.3109e-14,0,0.547,72.207,0.46594,154.97,1.0132e+05,1.174,1,0.0925,0.0925,0.17375,1
1.493,300,519.2,-2.5265e-14,0,0.547,72.202,0.46594,154.96,1.0132e+05,1.174,1,0.095,0.095,0.17375,1
1.493,300,519.2,-2.7421e-14,0,0.547,72.197,0.46594,154.95,1.0132e+05,1.174,1,0.0975,0.0975,0.17375,1
1.493,300,519.2,-2.9577e-14,0,0.54699,72.192,0.46593,154.94,1.0132e+05,1.174,1,0.1,0.1,0.17375,1
1.493,300,519.2,-3.3762e-14,0,0.54699,72.188,0.46593,154.93,1.0132e+05,1.174,1,0.1025,0.1025,0.17375,1
1.493,300,519.2,-3.7947e-14,0,0.54699,72.183,0.46593,154.92,1.0132e+05,1.174,1,0.105,0.105,0.17375,1
1.493,300,519.2,-4.2132e-14,0,0.54698,72.178,0.46592,154.91,1.0132e+05,1.174,1,0.1075,0.1075,0.17375,1
1.493,300,519.2,-4.6317e-14,0,0.54698,72.173,0.46592,154.9,1.0132e+05,1.174,1,0.11,0.11,0.17375,1
1.493,300,519.2,-5.0502e-14,0,0.54698,72.168,0.46592,154.89,1.0132e+05,1.174,1,0.1125,0.1125,0.17375,1
1.493,300,519.2,-4.8472e-14,0,0.54697,72.163,0.46592,154.88,1.0132e+05,1.174,1,0.115,0.115,0.17375,1
1.493,300,519.2,-4.6442e-14,0,0.54697,72.159,0.46591,154.88,1.0132e+05,1.174,1,0.1175,0.1175,0.17375,1
1.493,300,519.2,-4.4411e-14,0,0.54697,72.154,0.46591,154.87,1.0132e+05,1.174,1,0.12,0.12,0.17375,1
1.493,300,519.2,-4.2381e-14,0,0.54697,72.149,0.46591,154.86,1.0132e+05,1.174,1,0.1225,0.1225,0.17375,1
1.493,300,519.2,-4.0351e-14,0,0.54696,72.144,0.46591,154.85,1.0132e+05,1.174,1,0.125,0.125,0.17375,1
1.493,300,519.2,-3.3966e-14,0,0.54696,72.139,0.4659,154.84,1.0132e+05,1.174,1,0.1275,0.1275,0.17375,1
1.493,300,519.2,-2.7581e-14,0,0.54696,72.134,0.4659,154.83,1.0132e+05,1.174,1,0.13,0.13,0.17375,1
1.493,300,519.2,-2.1196e-14,0,0.54695,72.13,0.4659,154.82,1.0132e+05,1.174,1,0.1325,0.1325,0.17375,1
1.493,300,519.2,-1.4812e-14,0,0.54695,72.125,0.4659,154.81,1.0132e+05,1.174,1,0.135,0.135,0.17375,1
1.493,300,519.2,-8.4269e-15,0,0.54695,72.12,0.46589,154.8,1.0132e+05,1.174,1,0.1375,0.1375,0.17375,1
1.493,300,519.2,-4.6006e-15,0,0.54694,72.115,0.46589,154.79,1.0132e+05,1.174,1,0.14,0.14,0.17375,1
1.493,300,519.2,-7.7429e-16,0,0.54694,72.11,0.46589,154.78,1.0132e+05,1.174,1,0.1425,0.1425,0.17375,1
1.493,300,519.2,3.052e-15,0,0.54694,72.105,0.46589,154.77,1.0132e+05,1.174,1,0.145,0.145,0.17375,1
1.493,300,519.2,6.8783e-15,0,0.54693,72.101,0.46588,154.76,1.0132e+05,1.174,1,0.1475,0.1475,0.17375,1
1.493,300,519.2,1.0705e-14,0,0.54693,72.096,0.46588,154.75,1.0132e+05,1.174,1,0.15,0.15,0.17375,1
1.493,300,519.2,1.3377e-14,0,0.54693,72.091,0.46588,154.74,1.0132e+05,1.174,1,0.1525,0.1525,0.17375,1
1.493,300,519.2,1.6049e-14,0,0.54693,72.086,0.46588,154.73,1.0132e+05,1.174,1,0.155,0.155,0.17375,1
1.493,300,519.2,1.872e-14,0,0.54692,72.081,0.46587,154.72,1.0132e+05,1.174,1,0.1575,0.1575,0.17375,1
1.493,300,519.2,2.1392e-14,0,0.54692,72.076,0.46587,154.71,1.0132e+05,1.174,1,0.16,0.16,0.17375,1
1.493,300,519.2,2.4064e-14,0,0.54692,72.072,0.46587,154.7,1.0132e+05,1.174,1,0.1625,0.1625,0.17375,1
1.493,300,519.2,2.6567e-14,0,0.54691,72.067,0.46586,154.69,1.0132e+05,1.174,1,0.165,0.165,0.17375,1
1.493,300,519.2,2.907e-14,0,0.54691,72.062,0.46586,154.68,1.0132e+05,1.174,1,0.1675,0.1675,0.17375,1
1.493,300,519.2,3.1573e-14,0,0.54691,72.057,0.46586,154.68,1.0132e+05,1.174,1,0.17,0.17,0.17375,1
